gse	rnk_list	drug	tissue_type	cell_type	cell_line	moa	MAFF_rank	CCNE2_rank	MAFF_logFC	CCNE2_logFC
GSE13987	GSE13987_DEG_Expt1_Control_vs_Group1	rolipram	"blood, lymphoid"	primary		phosphodiesterase inhibitor	529	9279	0.540402672	-0.023327212
GSE13987	GSE13987_DEG_Expt2_Control_vs_Group1	rolipram	"blood, lymphoid"	primary		phosphodiesterase inhibitor	650	165	0.42021798	0.718286989
GSE13987	GSE13987_DEG_Expt3_Control_vs_Group1	rolipram	"blood, lymphoid"	primary		phosphodiesterase inhibitor	50	15249	0.620136516	-0.137581883
GSE14103	GSE14103_DEG_Expt1_Control_vs_Group1	nocodazole	colorectal	cell line	HCT116	microtubule inhibitor	14428	16894	-0.308286907	-2.436990598
GSE14385	GSE14385_DEG_Expt1_Control_vs_Group1	5-aza	epithelial	cell line	BEAS-2B	DNA methyltransferase inhibitor	453	16542	1.137123347	-1.270675005
GSE14986	GSE14986_DEG_Expt1_Control_vs_Group1	fulvestrant	breast	cell line	MCF7	estrogen receptor antagonist	6959	16892	0.067904194	-3.50173933
GSE14986	GSE14986_DEG_Expt2_Control_vs_Group1	fulvestrant	breast	cell line	MCF7	estrogen receptor antagonist	8912	16872	0.012020754	-2.281083085
GSE15389	GSE15389_DEG_Expt1_Control_vs_Group1	R547	"blood, PBMCs"	primary		CDK inhibitor	7888	12904	0.008937614	-0.079702971
GSE15389	GSE15389_DEG_Expt1_Control_vs_Group2	R547	"blood, PBMCs"	primary		CDK inhibitor	2364	12883	0.151744277	-0.123691984
GSE15389	GSE15389_DEG_Expt2_Control_vs_Group1	R547	"blood, PBMCs"	primary		CDK inhibitor	3787	16020	0.07554975	-0.190849616
GSE15389	GSE15389_DEG_Expt2_Control_vs_Group2	R547	"blood, PBMCs"	primary		CDK inhibitor	11365	14737	-0.047530898	-0.326489453
GSE15392	GSE15392_DEG_Expt1_Control_vs_Group2	R547	prostate	cell line	DU145	CDK inhibitor	44	2477	0.898766946	0.15618143
GSE15392	GSE15392_DEG_Expt1_Control_vs_Group3	R547	prostate	cell line	DU145	CDK inhibitor	2	37	4.270057527	2.416366354
GSE15392	GSE15392_DEG_Expt2_Control_vs_Group1	R547	prostate	cell line	DU145	CDK inhibitor	16677	15805	-1.115583433	-0.395292187
GSE15392	GSE15392_DEG_Expt2_Control_vs_Group2	R547	prostate	cell line	DU145	CDK inhibitor	132	16775	0.223699863	-0.354529486
GSE15392	GSE15392_DEG_Expt2_Control_vs_Group3	R547	prostate	cell line	DU145	CDK inhibitor	16618	16220	-1.024121837	-0.57607725
GSE15392	GSE15392_DEG_Expt3_Control_vs_Group1	R547	prostate	cell line	DU145	CDK inhibitor	15173	16749	-0.908172128	-3.012236651
GSE15392	GSE15392_DEG_Expt3_Control_vs_Group3	R547	prostate	cell line	DU145	CDK inhibitor	26	16853	1.564577298	-3.379788681
GSE15395	GSE15395_DEG_Expt1_Control_vs_Group1	R547	colon	cell line	HCT116	CDK inhibitor	16805	16723	-0.803900919	-0.635663002
GSE15395	GSE15395_DEG_Expt1_Control_vs_Group2	R547	colon	cell line	HCT116	CDK inhibitor	16113	16037	-0.312167201	-0.291513665
GSE15395	GSE15395_DEG_Expt1_Control_vs_Group3	R547	colon	cell line	HCT116	CDK inhibitor	16873	16767	-0.888810609	-0.595018634
GSE15395	GSE15395_DEG_Expt2_Control_vs_Group1	R547	colon	cell line	HCT116	CDK inhibitor	8149	16874	0.051452137	-3.512431109
GSE15395	GSE15395_DEG_Expt2_Control_vs_Group2	R547	colon	cell line	HCT116	CDK inhibitor	16184	1556	-0.362556092	0.235050028
GSE15395	GSE15395_DEG_Expt2_Control_vs_Group3	R547	colon	cell line	HCT116	CDK inhibitor	13021	16743	-0.113963407	-0.864825292
GSE15395	GSE15395_DEG_Expt3_Control_vs_Group2	R547	colon	cell line	HCT116	CDK inhibitor	9980	16893	-0.026691561	-1.235151716
GSE15395	GSE15395_DEG_Expt3_Control_vs_Group3	R547	colon	cell line	HCT116	CDK inhibitor	16710	16874	-0.855473728	-1.274669122
GSE15395	GSE15395_DEG_Expt4_Control_vs_Group1	R547	colon	cell line	HCT116	CDK inhibitor	16191	16892	-0.896002792	-2.873364455
GSE15395	GSE15395_DEG_Expt4_Control_vs_Group2	R547	colon	cell line	HCT116	CDK inhibitor	16339	16894	-0.335983956	-1.79014752
GSE15395	GSE15395_DEG_Expt4_Control_vs_Group3	R547	colon	cell line	HCT116	CDK inhibitor	14188	16894	-0.251813943	-2.309176592
GSE15395	GSE15395_DEG_Expt5_Control_vs_Group2	R547	colon	cell line	HCT116	CDK inhibitor	16439	16894	-0.53678075	-1.911284542
GSE15918	GSE15918_DEG_Expt1_Control_vs_Group1	CP-529414	adrenal	cell line	H295R	cholesteryl ester transfer protein inhibitor	24	13258	2.094964515	-0.079861316
GSE15918	GSE15918_DEG_Expt1_Control_vs_Group2	angiotensin II	adrenal	cell line	H295R	vasoconstrictor	172	13926	0.408221361	-0.131292353
GSE15947	GSE15947_DEG_Expt1_Control_vs_Group1	vitamin D3	prostate	cell line	RWPE1	"Vitamin,mineral,metabolite"	6476	16032	0.086554871	-0.525568939
GSE15947	GSE15947_DEG_Expt2_Control_vs_Group1	vitamin D3	prostate	cell line	RWPE1	"Vitamin,mineral,metabolite"	16458	16086	-0.361106296	-0.274394326
GSE15947	GSE15947_DEG_Expt3_Control_vs_Group1	vitamin D3	prostate	cell line	RWPE1	"Vitamin,mineral,metabolite"	159	13056	0.820709977	-0.089402701
GSE16179	GSE16179_DEG_Expt1_Control_vs_Group1	foretinib	breast	cell line	BT474-J4	VEGFR inhibitor	16886	6283	-1.320791899	0.029550794
GSE16385	GSE16385_DEG_Expt1_Control_vs_Group1	rosiglitazone	"blood, myeloid"	primary		PPAR receptor agonist	9736	13	-0.024775715	0.652570314
GSE16683	GSE16683_DEG_Expt1_Control_vs_Group1	estradiol	endothelial	cell line	HUVEC	estrogen receptor agonist	15144	15999	-0.276787902	-0.38189071
GSE17044	GSE17044_DEG_Expt1_Control_vs_Group1	R1881	prostate	cell line	LNCaP	androgen receptor agonist	19	16368	3.244999048	-0.730480698
GSE17785	GSE17785_DEG_Expt1_Control_vs_Group1	GDC-0941	breast	cell line	MCF10A	PI3K inhibitor	13	15997	1.011699956	-0.218301023
GSE17785	GSE17785_DEG_Expt2_Control_vs_Group1	GDC-0941	breast	cell line	MCF10A	PI3K inhibitor	120	16081	0.782709017	-0.383148704
GSE18198	GSE18198_DEG_Expt1_Control_vs_Group1	SAHM1	"blood, lymphoid"	cell line	KOPT	Notch inhibitor	12764	5239	-0.182813056	0.0978843
GSE18198	GSE18198_DEG_Expt2_Control_vs_Group1	SAHM1	"blood, lymphoid"	cell line	HPB	Notch inhibitor	2853	3223	0.15509449	0.137999561
GSE18571	GSE18571_DEG_Expt1_Control_vs_Group1	rapamycin	breast	cell line	MDA-MB-468	mTOR inhibitor	30	16470	0.828713839	-0.322420178
GSE18571	GSE18571_DEG_Expt2_Control_vs_Group1	rapamycin	breast	cell line	MDA-MB-468	mTOR inhibitor	2207	5937	0.12900391	0.05027619
GSE18571	GSE18571_DEG_Expt3_Control_vs_Group1	rapamycin	breast	cell line	MDA-MB-468	mTOR inhibitor	1784	16443	0.171101031	-0.243738307
GSE18668	GSE18668_DEG_Expt1_Control_vs_Group1	trichostatin	skin	cell line	TC-797	HDAC inhibitor	332	16688	2.482991798	-2.340336614
GSE18668	GSE18668_DEG_Expt2_Control_vs_Group1	trichostatin	skin	cell line	PER-403	HDAC inhibitor	2889	16843	0.339763599	-1.856708588
GSE19510	GSE19510_DEG_Expt1_Control_vs_Group1	benzo[a]pyrene diol epoxide	lung	primary		Carcinogen	271	16880	0.757134501	-2.761833055
GSE19510	GSE19510_DEG_Expt1_Control_vs_Group2	benzo[a]pyrene diol epoxide	lung	primary		Carcinogen	131	16846	1.233509872	-2.091899067
GSE19510	GSE19510_DEG_Expt1_Control_vs_Group3	benzo[a]pyrene diol epoxide	lung	primary		Carcinogen	381	16727	0.729561901	-0.983167206
GSE19519	GSE19519_DEG_Expt1_Control_vs_Group1	tunicamycin	"blood, lymphoid"	primary		antibiotics	518	16892	0.594478778	-1.517957224
GSE21270	GSE21270_DEG_Expt1_Control_vs_Group1	MNNG	epithelial	primary		Carcinogen	84	127	0.662672827	0.605554464
GSE21270	GSE21270_DEG_Expt2_Control_vs_Group1	MNNG	epithelial	primary		Carcinogen	15353	15785	-0.3207456	-0.390020921
GSE21270	GSE21270_DEG_Expt3_Control_vs_Group1	MNNG	epithelial	primary		Carcinogen	15412	11077	-0.233166601	-0.054368339
GSE22152	GSE22152_DEG_Expt1_Control_vs_Group1	dexamethasone	"blood, lymphoid"	cell line	CCRF-CEM	glucocorticoid receptor agonist	6485	4302	0.020255174	0.06464896
GSE22152	GSE22152_DEG_Expt2_Control_vs_Group1	dexamethasone	"blood, lymphoid"	cell line	CCRF-CEM	glucocorticoid receptor agonist	7480	8520	0.007073119	-0.013393185
GSE22606	GSE22606_DEG_Expt1_Control_vs_Group1	R1881	prostate	cell line	LNCaP	androgen receptor agonist	85	16800	2.145373787	-1.696043696
GSE23610	GSE23610_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	538	551	0.495456991	0.489078267
GSE23610	GSE23610_DEG_Expt1_Control_vs_Group2	ferulic acid	breast	cell line	MCF7	antioxidant	607	6670	0.163250704	0.01359782
GSE23610	GSE23610_DEG_Expt1_Control_vs_Group3	ferulic acid	breast	cell line	MCF7	antioxidant	8943	212	0.000720337	0.247199105
GSE23610	GSE23610_DEG_Expt1_Control_vs_Group4	ferulic acid	breast	cell line	MCF7	antioxidant	7514	810	0.009885329	0.157656525
GSE23984	GSE23984_DEG_Expt1_Control_vs_Group1	TX527	lymph	primary		"Vitamin,mineral,metabolite"	16724	4246	-0.767700821	0.063720852
GSE24468	GSE24468_DEG_Expt1_Control_vs_Group1	R5020	breast	primary		Progesterone receptor agonists	13850	1511	-0.152074075	0.35520922
GSE24869	GSE24869_DEG_Expt1_Control_vs_Group1	LTB4	"blood, myeloid"	primary		leukocyte activator	36	8865	0.725324284	-0.000273557
GSE25547	GSE25547_DEG_Expt1_Control_vs_Group1	GW7647	liver	cell line	HEPG2	PPAR receptor agonist	599	67	0.240912417	0.492315384
GSE25547	GSE25547_DEG_Expt1_Control_vs_Group2	GW7647	liver	cell line	HEPG2	PPAR receptor agonist	237	16275	0.464133466	-0.265730645
GSE26114	GSE26114_DEG_Expt1_Control_vs_Group1	ABT-869	"blood, myeloid"	cell line	MV4-11	VEGFR inhibitor	16874	11	-1.413421775	1.188211713
GSE26114	GSE26114_DEG_Expt1_Control_vs_Group2	SAHA	"blood, myeloid"	cell line	MV4-11	HDAC inhibitor	16863	260	-1.067561552	0.822161281
GSE26114	GSE26114_DEG_Expt1_Control_vs_Group3	ABT-869|SAHA	"blood, myeloid"	cell line	MV4-11	VEGFR inhibitor|HDAC inhibitor	16884	256	-2.21474798	0.957627628
GSE26114	GSE26114_DEG_Expt2_Control_vs_Group1	ABT-869	"blood, myeloid"	cell line	MOLM-14	VEGFR inhibitor	16879	5128	-0.853438328	0.072496141
GSE26114	GSE26114_DEG_Expt2_Control_vs_Group2	SAHA	"blood, myeloid"	cell line	MOLM-14	HDAC inhibitor	925	16866	0.534157827	-1.075668489
GSE26114	GSE26114_DEG_Expt2_Control_vs_Group3	ABT-869|SAHA	"blood, myeloid"	cell line	MOLM-14	VEGFR inhibitor|HDAC inhibitor	10383	16891	-0.082234068	-2.021836949
GSE26351	GSE26351_DEG_Expt1_Control_vs_Group1	BIO	"blood, PBMCs"	primary		Wnt activator	70	16516	0.617690835	-0.294472332
GSE26351	GSE26351_DEG_Expt1_Control_vs_Group2	rhBMP4	"blood, PBMCs"	primary		Other	3976	14411	0.094869088	-0.122359439
GSE26599	GSE26599_DEG_Expt1_Control_vs_Group1	doxorubicin	breast	cell line	HB4a	topoisomerase inhibitor	395	16809	0.616589309	-0.722801733
GSE26599	GSE26599_DEG_Expt1_Control_vs_Group2	rapamycin	breast	cell line	HB4a	mTOR inhibitor	16	1368	1.388983267	0.380132337
GSE26599	GSE26599_DEG_Expt1_Control_vs_Group3	doxorubicin|rapamycin	breast	cell line	HB4a	topoisomerase inhibitor|mTOR inhibitor	17	11737	1.735871242	-0.083923911
GSE26599	GSE26599_DEG_Expt2_Control_vs_Group1	doxorubicin	breast	cell line	C5.2	topoisomerase inhibitor	638	16424	1.198457601	-0.58666029
GSE26599	GSE26599_DEG_Expt2_Control_vs_Group2	rapamycin	breast	cell line	C5.2	mTOR inhibitor	3	3108	2.262779865	0.626883836
GSE26599	GSE26599_DEG_Expt2_Control_vs_Group3	doxorubicin|rapamycin	breast	cell line	C5.2	topoisomerase inhibitor|mTOR inhibitor	5	13347	2.389413546	-0.254669611
GSE26599	GSE26599_DEG_Expt3_Control_vs_Group1	doxorubicin	breast	cell line	SKBR3	topoisomerase inhibitor	6049	600	0.041069317	0.277018058
GSE26599	GSE26599_DEG_Expt3_Control_vs_Group2	rapamycin	breast	cell line	SKBR3	mTOR inhibitor	90	16840	0.781202105	-1.279702103
GSE26599	GSE26599_DEG_Expt3_Control_vs_Group3	doxorubicin|rapamycin	breast	cell line	SKBR3	topoisomerase inhibitor|mTOR inhibitor	59	16850	0.956662131	-1.306088217
GSE28645	GSE28645_DEG_Expt1_Control_vs_Group1	tamoxifen	breast	cell line	LY2	estrogen receptor antagonist	156	2924	0.303298808	0.091568585
GSE28995	GSE28995_DEG_Expt1_Control_vs_Group1	retinoic acid	"blood, myeloid"	cell line	THP-1	retinoid receptor ligand	6959	14405	0.023485541	-0.601657854
GSE28995	GSE28995_DEG_Expt1_Control_vs_Group2	TNF-alpha	"blood, myeloid"	cell line	THP-1	immunomodulator	33	11719	2.534908145	-0.14366749
GSE28995	GSE28995_DEG_Expt1_Control_vs_Group3	retinoic acid|TNF-alpha	"blood, myeloid"	cell line	THP-1	retinoid receptor ligand|immunomodulator	24	544	3.369136491	0.763084779
GSE29828	GSE29828_DEG_Expt1_Control_vs_Group1	EPZ004777	"blood, myeloid"	cell line	MV4-11	histone lysine methyltransferase inhibitor	16890	4952	-0.961131647	0.081195098
GSE29828	GSE29828_DEG_Expt2_Control_vs_Group1	EPZ004777	"blood, myeloid"	cell line	MV4-11	histone lysine methyltransferase inhibitor	16889	14929	-3.175124766	-0.230630049
GSE29828	GSE29828_DEG_Expt3_Control_vs_Group1	EPZ004777	"blood, myeloid"	cell line	MV4-11	histone lysine methyltransferase inhibitor	16888	16204	-2.225635689	-0.585811788
GSE29828	GSE29828_DEG_Expt4_Control_vs_Group1	EPZ004777	"blood, myeloid"	cell line	MOLM-13	histone lysine methyltransferase inhibitor	16741	10203	-1.203752431	0.002019207
GSE29868	GSE29868_DEG_Expt1_Control_vs_Group1	atorvastatin	liver	primary		HMGCR inhibitor	16832	16644	-0.637767305	-0.41233541
GSE29868	GSE29868_DEG_Expt2_Control_vs_Group1	atorvastatin	liver	primary		HMGCR inhibitor	16796	14441	-0.434639659	-0.12645355
GSE29868	GSE29868_DEG_Expt3_Control_vs_Group1	atorvastatin	liver	primary		HMGCR inhibitor	2644	16651	0.163741453	-0.489342372
GSE29868	GSE29868_DEG_Expt4_Control_vs_Group1	atorvastatin	liver	primary		HMGCR inhibitor	34	16531	0.861219264	-0.555759411
GSE29868	GSE29868_DEG_Expt5_Control_vs_Group1	atorvastatin	liver	primary		HMGCR inhibitor	4	12400	2.112777507	-0.104157938
GSE29881	GSE29881_DEG_Expt1_Control_vs_Group1	estradiol	endothelial	cell line	HUAEC	estrogen receptor agonist	681	627	0.212475434	0.218233214
GSE29881	GSE29881_DEG_Expt1_Control_vs_Group2	oxLDL	endothelial	cell line	HUAEC	Other	1095	459	0.179194006	0.25724684
GSE29881	GSE29881_DEG_Expt1_Control_vs_Group3	estradiol|oxLDL	endothelial	cell line	HUAEC	estrogen receptor agonist|Other	2894	204	0.098464409	0.336164374
GSE30188	GSE30188_DEG_Expt1_Control_vs_Group1	CCG-1423	prostate	cell line	PC-3	RhoA  inhibitor	316	16836	1.355629523	-3.086771296
GSE30188	GSE30188_DEG_Expt1_Control_vs_Group2	DRB	prostate	cell line	PC-3	Transcription factor inhibitor	333	16638	1.309300785	-1.549632497
GSE30531	GSE30531_DEG_Expt1_Control_vs_Group1	MLN4924	skin	cell line	A375	nedd activating enzyme inhibitor	3254	701	0.084832274	0.16775976
GSE30531	GSE30531_DEG_Expt2_Control_vs_Group1	MLN4924	skin	cell line	A375	nedd activating enzyme inhibitor	348	160	0.245681179	0.322986933
GSE30531	GSE30531_DEG_Expt3_Control_vs_Group1	MLN4924	skin	cell line	A375	nedd activating enzyme inhibitor	229	286	0.392396751	0.350417485
GSE30531	GSE30531_DEG_Expt4_Control_vs_Group1	MLN4924	skin	cell line	A375	nedd activating enzyme inhibitor	75	626	0.979335283	0.479867161
GSE30531	GSE30531_DEG_Expt5_Control_vs_Group1	MLN4924	skin	cell line	A375	nedd activating enzyme inhibitor	43	2439	2.003078805	0.306562898
GSE32547	GSE32547_DEG_Expt1_Control_vs_Group1	pitavastatin	endothelial	cell line	HUVEC	HMGCR inhibitor	16643	16609	-0.28852856	-0.274091177
GSE33143	GSE33143_DEG_Expt1_Control_vs_Group1	SAH-BCL9	colorectal	cell line	DLD1	Wnt pathway inhibitor	1441	651	0.276573078	0.381097702
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group1	BKM120	skin	cell line	A2058	PI3K inhibitor	6688	15420	0.053817204	-0.200598358
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group2	BKM120	skin	cell line	A2058	PI3K inhibitor	4183	6977	0.129288865	0.058013304
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group3	BKM120	skin	cell line	A2058	PI3K inhibitor	297	16828	0.813353616	-1.089264156
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group4	BEZ235	skin	cell line	A2058	PI3K inhibitor	432	15624	0.741412494	-0.352584463
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group5	BEZ235	skin	cell line	A2058	PI3K inhibitor	1544	16399	0.540343919	-0.752563116
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group6	BEZ235	skin	cell line	A2058	PI3K inhibitor	970	16407	0.760971499	-0.828651038
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group7	GDC-0941	skin	cell line	A2058	PI3K inhibitor	8383	14660	0.009213815	-0.144456554
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group8	GDC-0941	skin	cell line	A2058	PI3K inhibitor	2890	13483	0.194775676	-0.116333254
GSE33643	GSE33643_DEG_Expt1_Control_vs_Group9	GDC-0941	skin	cell line	A2058	PI3K inhibitor	1157	15854	0.527473613	-0.420399218
GSE34331	GSE34331_DEG_Expt1_Control_vs_Group1	F05	breast	cell line	MCF7	Other	38	16326	0.314454711	-0.15554077
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group1	4-hydroxytamoxifen	breast	cell line	MCF7	estrogen receptor antagonist	7147	14194	0.010420319	-0.080319663
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group10	lasofoxifene	breast	cell line	MCF7	selective estrogen receptor modulator (SERM)	7558	16881	0.017899689	-0.949606577
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group11	estradiol|lasofoxifene	breast	cell line	MCF7	estrogen receptor agonist|selective estrogen receptor modulator (SERM)	9646	16499	-0.016187316	-0.278242327
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group2	fulvestrant	breast	cell line	MCF7	estrogen receptor antagonist	1830	16881	0.114032327	-1.438499015
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group3	bazedoxifene	breast	cell line	MCF7	selective estrogen receptor modulator (SERM)	14039	16890	-0.067428576	-1.355401526
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group4	raloxifene	breast	cell line	MCF7	estrogen receptor antagonist	15131	16888	-0.108049818	-1.117884925
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group5	estradiol	breast	cell line	MCF7	estrogen receptor agonist	11636	118	-0.077646259	1.660876142
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group6	estradiol|4-hydroxytamoxifen	breast	cell line	MCF7	estrogen receptor agonist|estrogen receptor antagonist	6682	103	0.025047024	0.726838026
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group7	estradiol|fulvestrant	breast	cell line	MCF7	estrogen receptor agonist|estrogen receptor antagonist	568	16884	0.16220251	-1.083143284
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group8	estradiol|bazedoxifene	breast	cell line	MCF7	estrogen receptor agonist|selective estrogen receptor modulator (SERM)	10648	16890	-0.008102986	-1.216009927
GSE35428	GSE35428_DEG_Expt1_Control_vs_Group9	estradiol|raloxifene	breast	cell line	MCF7	estrogen receptor agonist|estrogen receptor antagonist	11916	16887	-0.033753051	-0.786243018
GSE36176	GSE36176_DEG_Expt1_Control_vs_Group1	RO4929097 	lung	cell line	A549	gamma secretase inhibitor	6019	83	0.081623013	0.481137123
GSE36176	GSE36176_DEG_Expt2_Control_vs_Group1	RO4929097 	lung	cell line	A549	gamma secretase inhibitor	12639	16689	-0.065931409	-0.315939416
GSE36176	GSE36176_DEG_Expt3_Control_vs_Group1	RO4929097 	lung	cell line	H460a	gamma secretase inhibitor	1006	5890	0.197137366	0.046070427
GSE36176	GSE36176_DEG_Expt4_Control_vs_Group1	RO4929097 	lung	cell line	H460a	gamma secretase inhibitor	7750	16318	0.004618881	-0.18725915
GSE39354	GSE39354_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	VCaP	androgen receptor agonist	3794	15745	0.150273415	-0.459544594
GSE39354	GSE39354_DEG_Expt2_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	12708	16705	-0.138992123	-1.051919696
GSE40512	GSE40512_DEG_Expt1_Control_vs_Group1	PD0332991	"blood, lymphoid"	cell line	KOPTK1	CDK inhibitor	2557	16821	0.294252512	-2.630434392
GSE40794	GSE40794_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	16340	75	-0.294834572	0.509880412
GSE41315	GSE41315_DEG_Expt1_Control_vs_Group1	EI1	"blood, lymphoid"	cell line	DLBCL	PRC2 inhibitor	9600	11463	-0.023242348	-0.048813263
GSE41315	GSE41315_DEG_Expt2_Control_vs_Group1	EI1	"blood, lymphoid"	cell line	DLBCL	PRC2 inhibitor	16805	15684	-0.373432692	-0.218325248
GSE41315	GSE41315_DEG_Expt3_Control_vs_Group1	EI1	"blood, lymphoid"	cell line	DLBCL	PRC2 inhibitor	16720	16083	-0.533554552	-0.338619717
