NAME	786-0	BT-549	CCRF-CEM	COLO 205	EKVX	HCC-2998	HCT-15	HOP-62	HOP-92	HS 578T	HT29	K-562	KM12	M14	MDA-MB-231/ATCC	MDA-MB-435	NCI-H23	NCI-H322M	NCI-H522	OVCAR-3	OVCAR-5	OVCAR-8	PC-3	RXF-393	SF-268	SF-295	SK-MEL-2	SN12C	SNB-19	SNB-75	SW-620	T-47D	U251	A498	A549/ATCC	ACHN	CAKI-1	HCT-116	LOX IMVI	MALME-3M	MCF7	MOLT-4	NCI-H460	OVCAR-4	SF-539	SK-MEL-5	SR	UACC-257	UACC-62	UO-31
HERC1	17.13	19.72	39.84	26.9	16.41	55.82	60.14	23.98	20.94	20.78	36.96	37.3	20.8	28.43	25.38	36.55	29.64	13.19	41.22	42.88	19.08	28.01	18.78	23.95	15.01	15.2	20.2	30.02	18.5	17.92	71.84	43.68	14.59	26.95	20.66	27.1	15.78	33.92	31.9	27.38	48.1	27.14	23.75	21.38	47.19	33.28	63.7	42.56	17.64	12.4
EFNA1	15.97	15.98	27.33	17.67	27.51	10.97	32.68	12.21	15.31	23.85	24.46	17.79	24.08	22.73	21.38	13.83	16.12	16.82	41.61	30.09	16.75	5.45	22.12	29.19	20.51	16.55	17.9	20.65	20.76	19.51	15.86	14.53	20.61	30.94	30.69	17.4	18.92	18.89	34.5	8.67	22.79	21.5	10.18	20.18	17.5	16.74	21.78	33.15	22.55	13.23
CIB2	31.2	14.53	5.93	5.54	6.03	8.16	7.75	38.79	10.24	29.81	27.16	7.47	7.28	42.32	40	77.17	24.2	9.84	9.19	7.95	16.37	22.37	23.6	20.03	8.12	39.4	38.03	18.31	150.2	213.13	38.19	18.87	141.31	32.47	6.04	13.74	12.85	7.98	6.44	76.96	59.38	9.45	10.93	10.63	82.86	24.09	11.7	60	72.15	25.08
PMP22	17.05	9.99	24.36	12.26	38.78	3.28	24.42	16.99	16.77	12.67	20.85	26.6	8.13	27.66	21.36	21.56	23.44	13.88	20.47	26.2	31.47	13.84	11.62	17	10.14	10.51	11.39	22.97	10.22	8.77	17.59	12.17	15.63	5.66	9.68	9.63	13.54	11.78	9.14	33.59	6.16	26.25	8.08	17.15	12.95	19.19	15.25	32.94	22.92	5.5
TMEM173	9.87	4.18	14.98	5.98	9.3	7.33	12.48	3.64	5.23	8.51	4.66	5.23	12.39	5.93	10.98	2.84	15.37	2.09	6.86	19.04	8.93	11.13	10.53	9.21	13.87	6.28	3.75	18.9	19	5.6	15.95	14.51	22.01	13.31	8.41	12.01	8.4	4.47	3.84	5.52	13.46	6.41	10.67	5.92	9.01	13.94	17.12	4.44	6.75	9.59
MANSC1	200.93	223.45	236.52	193.8	144.57	138.53	164.99	187.85	158.43	195.1	158.18	344.99	197.45	279.72	143.68	228.72	203.24	158.68	313.55	229.63	165.01	147.52	313.48	325.35	190.08	194.23	251.92	118.64	173.18	183.4	280.83	121.88	154.6	194.56	122	103.34	180.77	255.4	238.13	165.04	178.14	220.01	142.76	247.74	174.59	171.93	183.23	208.71	231.3	99.94
PRSS23	215.01	120.57	36.84	425.64	206.62	575.25	491.92	178.28	521.68	184.32	368.55	112.48	362.52	149.07	185.89	187.68	132.66	249.58	195.79	274.57	99.31	226.13	124.97	300.33	279.17	114.87	170.83	476.66	99.68	184.56	125.05	509.55	150.45	319.6	514.75	353.63	444.52	383.57	180.77	183.26	454.48	108.04	352.6	196.44	222.17	126.33	39.06	58.08	138.56	235.8
QPCT	19.96	36.24	15.79	18.72	13.96	24.53	16.3	28.95	16.39	8.27	17.12	7.06	23.01	9.72	20.93	11.71	11.49	20.04	5.77	11.78	20.48	20.89	12.35	35.36	10.07	10.76	11	11.57	22.19	19.67	7.92	19.36	8.09	28.23	9.21	12.18	26.92	7.64	6.26	15.08	16.39	12.08	28.1	15.58	12.61	12.21	33.93	26.45	33.37	6.86
DMKN	90.29	49.36	119.29	96.61	98.66	104	122.21	62.67	83.63	65.57	95.86	113.31	98.85	103.53	76.06	112.49	70.09	64.31	89.02	61.83	35.79	82.55	85.73	70.39	84.47	86.36	159.3	76.86	121.99	75.1	72.65	116.15	150.21	47.26	117.99	49.62	46.07	140.25	49.86	134.57	179.59	147.08	82.54	43.79	76.22	87.64	139.76	94.9	77.63	53.06
MS4A4D	398.47	421.14	476.89	341.65	267.68	424.01	457.13	357.27	454.18	468.34	596.28	261.2	472.21	363.41	363.61	390.02	370.14	346.15	439.34	419.3	592.34	333.28	550.3	305.94	379.09	309.65	494.78	329.62	400.84	477.73	437.06	511.26	288.36	397.26	290.49	223.78	296.84	463.78	544.85	285.05	571.74	435.68	354.69	495.72	371.46	314.67	382.43	339.45	314.87	469.23
CCL2	398.47	302.46	251.74	500.35	647.97	1092.78	468.53	450.36	856.12	437.66	894.29	566.8	568.28	903.75	440.27	679.35	618.48	245.93	547.33	432.87	599	503.89	544.64	448.11	576.81	575.88	455.58	423.34	845.35	735.89	343.65	260.64	500.92	1099.95	635.54	629.29	643.31	464.75	703.4	714.08	595.17	351.55	806.74	578.45	736.65	1005.94	498.83	574.64	777.13	443.83
CDC42EP1	96.21	143.22	114.3	132.45	171.95	109.98	140.44	159.18	200.41	101.36	122.98	81.4	152.09	84.43	192.32	150.55	163.59	197.4	143.32	169.68	207.9	77.1	208.9	116.98	127.4	131.3	203.1	69.85	150.98	166.06	152.53	192.29	155	72.23	135.26	148.7	112	172.74	144.23	166.03	256.45	130.81	137.58	129.54	116.3	149.51	210.24	130.21	145.3	119.22
RCAN2	552.42	572.48	296.13	365.17	139.46	609.57	289.88	135.95	948.22	254.44	344.65	210.64	188.77	341.66	612.17	228.1	377.86	153.84	429.21	274.34	217.62	613.83	325.81	533.4	425.03	463.33	371.7	614.85	253.91	293.22	353.28	157.27	239.98	1468.97	682.24	1518.96	788.71	323.25	864.56	650.57	435.29	516.31	631.44	678.42	265.03	976.05	960.94	948.58	1651.35	1200.67
CRTC3	15.97	44.33	9.51	8.29	8.29	10.22	8.25	9.23	16.99	16.57	8.02	9.91	8.63	8.91	8.7	9.31	12.51	12.59	9.61	14.08	11.04	12.34	9.08	13.09	11.15	11.66	10.77	13.15	13.31	10.76	8.09	9.25	10.52	19.95	9.9	11.26	11.53	8.07	10.05	12.83	9.79	11.94	10.64	13.12	12.62	15.46	9.86	12.83	14.78	14.12
TMEM56	5.74	16.34	10.59	13.04	16.88	17.93	16.69	19.12	10.99	9.45	10.57	19.77	11.34	17.56	11.87	14.07	16.66	15.47	22.44	32.12	9.23	12.53	14.94	10.84	24.52	9.63	22.37	20.89	19.08	23.5	6.64	15.94	26.87	14.66	35.51	26.63	15.78	17.77	17.29	10.07	7.97	19.75	14.55	14.85	20.43	15.62	20.17	24.14	7.83	16.13
SLC25A24	68.64	76	83.54	44.92	69.17	54.08	51.52	49.5	68.49	71.37	43.4	65.47	59.26	38.93	79.68	61.68	62.68	56.97	66.43	56.41	55.83	61.17	46.11	43.65	60.5	46.69	59.57	50.34	68.17	37.85	44.48	48.54	49.92	36.4	41.8	44.89	61.14	49.93	47.79	54	74.32	75.85	51.06	59.33	54.05	65.15	51.79	45.54	48.4	50.88
BNC1	1786.91	1977.05	4726.32	3559.07	2584.8	3751.32	2370.67	2276.04	1432.79	3313.25	1719.69	2235.97	2691.21	2623.85	2185.46	3545.57	2777.93	2525.97	2382.49	1532.45	3673.66	2657.51	1734.43	1835.97	1135.69	2646.96	6653.03	1714.52	1715.49	2112.46	2306.11	1775.09	2258.87	1143.51	1922.9	2119.45	1519.73	3282.89	1923.62	2136.6	1564.76	3317.66	2204.25	2567.49	2194.7	2567.98	2353.39	1991.94	1960.38	2192.22
CACNA1H	42.66	78.13	74.89	43.8	69.39	85.59	79.24	75.03	90.4	95.56	168.76	27.85	80.39	34.02	53.88	74.92	92.63	82.12	60.2	32.48	69.31	52.91	74	64.3	72.73	84.47	123.8	21.34	50.83	60.63	66.05	70.52	55.88	48.81	59.16	27.31	74.57	92.03	136.49	92.13	104.02	53.74	24.14	35.07	96.08	111.41	62.64	72.97	58.96	63.63
CDA	197.6	287.7	852.15	361.27	320.77	353.61	442.51	494.77	395.89	243.81	315.94	885.37	394.25	409.25	412.79	426.03	199.26	285.9	94.13	299.75	252.18	550.05	268.75	260.86	277.27	307.54	360.62	212.36	199.98	259.19	522.81	658.54	404.24	502.08	268.78	317.09	274.67	420.25	326.74	313.58	426.35	759.86	302.91	610.64	236.33	255.99	394.72	203.69	240.08	344.94
KRT19	531.93	1893.16	1974.04	2064.66	1125.65	812.07	811.92	1162.39	1523.32	1070.48	790.52	1575.25	1745.65	742.23	1004.04	1229.21	1596.04	1250.35	714.23	678.86	993.05	810.53	1357.33	1021.8	383.6	984.86	711.34	644.13	502.39	564.67	634.5	1155.53	611.86	704.02	852.94	371.29	1048.16	1488.34	1041.61	1107.68	4486.9	2166.18	827.77	1319.41	816.93	2218.47	986.73	688.32	1409.9	1045.1
TAGLN	276.59	389.68	28.67	131.41	120.4	85.85	66.83	119.57	124.76	173.66	90.98	108.95	160.38	90.11	85.62	99.22	101.96	55	119.88	53.42	80.05	56.62	77.37	204.11	104.8	126.82	81.75	114.13	68.97	110.56	246	69.71	67.66	223.71	87.9	101.51	135.52	317.67	143.95	35.33	50.77	34.24	85.48	121.32	180.06	112.8	671.67	13.31	26.52	110.12
DHX58	7.21	8.9	8.46	4.32	4.94	3.97	4.9	6.94	9.98	5.62	8.65	7.32	8.3	3.02	12.05	11.7	4.18	8.88	3.29	10.01	10.45	11.36	3.89	7.57	4.66	5.81	2.83	5.3	9.46	11.08	9.37	4.93	3.88	14.78	6.11	2.55	5.16	3.21	4.93	7.43	5.43	3.27	3.32	10.42	13.26	16.6	6.1	4.92	8.75	16.81
GJA3	85.5	133.11	9.52	11.36	34.64	20.82	8.38	80.03	188.67	242.32	9.63	143.75	8.02	21.28	140.12	20.88	26.85	19.56	249.2	10.02	9.92	155.8	140.71	220.09	97.32	157.85	27.93	69.41	589	196.34	75.98	12.87	234.5	265.21	153.7	119.8	129.66	18.1	82.21	40.26	28.5	15.36	153.35	18.58	65.11	45.6	11.56	9.77	23.92	88.53
CD44	6.02	10.16	6.94	3.43	8.92	6.88	4.92	9.17	3.73	7.73	3.43	4.73	6.82	4.69	4.23	4.71	4.32	5.86	4.47	18.13	4.56	4.79	3.7	7.38	6.72	6.81	7.96	5.08	4.49	12.98	4.91	3.91	6.43	8.88	7.22	5.27	4.36	4.84	7.72	14	6.15	5.29	14.28	5.56	9.45	4.78	15.81	3.53	6.54	4.17
MAGEE1	159.71	317.88	429.78	228.34	366.16	350.79	539.33	504.1	165.92	271.23	287.23	179.73	525.89	306.42	220.56	198.88	232.66	297.89	715.65	245.15	323.3	175.87	845.98	164.72	658.52	192.01	424.01	142.58	249.69	340.03	564.21	327.55	311.64	152.45	277.35	161.31	175	464.44	570.45	227.37	302.81	450.2	377.53	238.18	203.81	336.07	229.05	252.66	198.96	207.58
CLMN	35.38	48.9	61.19	87.14	39.84	41.25	51.4	30.8	42.24	41.27	79.97	35.94	38.15	43.33	49.5	32.2	51.17	68	53.59	55.6	42.85	27.08	29.69	41.78	30.79	46.2	43.03	35.49	57.38	35.99	106.42	34.23	30.35	56.22	43.55	65.01	25.25	106.7	48.97	39.78	70.99	84.82	62.99	41.91	52.5	45.65	75.61	41.47	9.7	48.2
TRMT2B	113.71	248.41	230.01	139.14	230.85	197.41	243.97	146.51	222.76	182.35	146.11	161.56	106.57	154.93	159.88	194.47	193.22	101.41	219.79	170.17	72.71	61.74	231.91	132.92	155.95	182.61	277.43	186.26	61.86	126.48	128.22	182.7	62.45	129.56	152.88	108.7	148.69	203.86	195.32	109.41	297.06	226.24	201.62	53.72	82.91	116.73	158.55	112.69	73.15	155.28
COL8A2	455.82	198.23	438.18	230.23	257.28	301.51	224.02	110.67	547.34	193.56	149.93	224.04	353.87	257.15	218.27	308.72	43.75	189.14	286.3	191.67	614.99	292.84	807.84	277.72	72.7	224.54	246.94	386.82	148.68	104.8	284.83	206.75	84.76	71.64	145.03	442.83	323.83	281.1	258.87	287.14	131.26	311.95	118.25	131.49	59.57	301.67	264.23	128.98	218.9	818.37
RASL10A	40.61	15.59	22.55	11.6	17.09	21.08	13.82	33.35	22.71	25.34	33.38	25.35	15.45	20.13	24.22	20.35	32.83	21.76	14.72	40.28	14.76	13.62	16.36	25.34	36.92	27.31	13.67	34.04	18.14	25.06	20.22	19.45	34.77	31.93	27.67	31.38	28.77	31.45	34.04	25.89	20.82	32.6	28.62	15.37	13.14	23.66	20.36	15.81	21.67	9.22
NEDD9	22.32	36.89	11.91	11.98	11.09	10	10.32	19.53	14.42	19.93	18.79	10.33	24.57	10.44	36.55	14.56	22.7	9.2	17.65	8.87	9.57	16.8	16.2	29.09	9.8	11.15	14.6	7.39	8.88	15.68	27.27	12.71	13.77	15.18	27.38	13.15	12.04	12	15.41	16.04	41.18	6.25	19.44	7	16.66	9.62	12	18.06	12.41	15.77
4-Sep	12.38	19.13	7.25	8.68	12.02	2.47	10.45	8.36	6.93	17.66	10.51	5.32	5.17	2.39	8.99	15.67	10.01	14.66	6.77	8.42	17.4	13.54	6.85	27.51	21.45	7.71	12.22	12.49	13.96	12.51	8.28	6.74	21.3	13.06	12.67	6.89	14.54	8.85	5.65	4.87	7.97	7.06	160.72	5.89	6.09	5.83	10.43	8.63	5.72	15.95
LIMCH1	8.26	24.61	30.76	23.18	11.17	6.49	10.22	7.66	12.66	19.75	21.49	11.15	9.75	8.96	15.63	24.44	21.79	18.43	17.53	10.79	15.66	17.85	19.25	19.2	7.79	19.32	18.09	11.04	21.31	17.76	15.21	14.19	13.38	16.22	17.56	15.11	10.5	17.93	11.27	16.82	14.24	23.26	16.03	10.84	25.56	24.5	26.06	16.55	13.24	23.34
ST3GAL1	129.83	81.37	91.31	150.52	105.01	101.03	112.9	110.98	77.6	178.95	177.89	101.79	11.43	44.95	64.21	95.97	97.47	136.04	76.99	112.82	123.05	69.78	119.35	35.66	81.17	117.49	38.48	133.05	47.3	115.12	119.1	175.68	45.18	100.85	76.29	41.16	95.01	69.59	95.19	63.27	148.16	97.19	99.57	14.36	88.57	112.18	118.8	47.48	86.82	46.91
FNDC5	203.87	80.11	75.97	102.98	114.46	109.11	92.67	200.91	279.57	213.18	259.69	70.53	112.56	49.26	213.16	68.89	181	273.84	73.63	204.3	186	204.87	180.65	213.48	299.87	241.08	113.5	209.54	298.15	304.73	133.52	151.24	624.18	242.59	186.52	203.26	125.09	148.47	108.4	166.23	89.45	81.07	169.03	136.26	129.16	129.47	144.97	121.5	132.6	183.18
TGFBR2	22.75	13.67	16.63	4.77	7.49	15.42	17.47	14	4.6	16.88	19.58	15.56	10.07	11.32	18.02	10.72	6.42	14.85	8.07	30.66	15.22	12.31	14.2	6.57	22.88	13.17	9.41	4.17	23.66	17.71	17.07	25.95	17.61	9.79	7.14	13.82	17.02	10.14	9.94	20.4	28.01	12.58	10.62	24.11	9.63	28.04	14.96	22.69	9.33	13.93
PLD2	36.91	8.12	18.99	53.7	20.02	28.04	21.74	47.34	69.45	65.59	81.26	21.03	25.52	54.56	43.38	23.45	34.57	46.84	11.06	36.42	371.36	31.37	12.65	98.21	83.32	71.19	35.07	40.66	44.04	78.98	19.73	15.69	27.08	83.33	37.78	54.94	29.39	40.45	241.31	23.68	17.9	58.13	31.1	70.94	62.28	35.23	35.23	24.39	40.91	20.67
KRT7	8.77	16.71	21.79	13.74	29.26	10.15	6.11	4.06	5.02	6.16	4.47	128.21	4.54	21.23	25.6	30.23	17.86	20.03	26.65	6.47	11.88	8.13	6.13	15.25	15.35	8.17	16.33	12.57	7.66	5.03	10.51	16.92	10.5	11.91	25.69	7.15	5.72	14.45	7.89	16.06	11.01	10.92	17.08	25.92	5.89	61.38	7.6	29.63	58	13.82
FOSL2	27.59	139.73	18.51	393.94	339.54	500.7	12.29	29	10.9	54.15	17.39	46.97	14.39	8.96	42.76	11.2	58.76	584.3	37.03	37.17	116.02	48.11	13.3	96.26	25.29	30.6	7.81	26.13	51.08	214.73	57.7	1465.18	16.4	50.56	9.4	34.07	24.44	98.01	18.72	15.01	523.32	13.44	48.19	57.44	119.55	18.76	156.83	22.13	12.68	29.94
EFEMP2	6.12	18.67	10.77	33.22	25.36	56.32	49.09	19.62	11.3	25.9	19.47	16.03	55.4	32.22	26.87	32.85	29.94	64.64	12.92	10.62	18.27	33.57	39.15	10.66	37.36	13.6	19.64	25.19	18.65	21.77	15.46	21.31	20.01	27.57	7.18	13.77	19.03	59.36	6.59	40.58	10.86	17.42	47.6	19.89	17.79	43.65	25.55	21.53	32.65	6.72
GM715	5.62	22.58	245.18	4.1	2.92	7.27	4.22	9.95	6.94	60.78	5.52	110.24	2.57	47.41	76.2	10.35	560.88	7.42	71.71	62.18	9.43	13.75	56.21	148.9	27.75	29.2	8.2	3.13	150.04	113.21	9.24	8.87	190.89	253.07	6.13	3.84	2.44	6.43	94.39	124	3.08	76.94	12.41	45.17	28.85	5.98	78.27	16.1	42.24	34.71
CD40	55.3	26.26	14.37	18.47	35.77	48.06	21.46	33.94	21.3	41.77	40.38	11.16	30.65	22.17	13.65	15.96	30.61	25.46	108.84	9.43	34.81	44	21.24	15.21	50.1	41.7	32.26	16.54	36.15	51.63	15.53	103.19	61.67	44.21	24.64	67.35	29.29	19.03	66.64	56.87	64.3	10.43	24.33	12.77	52.14	21.37	34.08	74.69	46.83	20.46
HOXD8	53.85	80.19	235.47	90.52	47.33	89.52	119.81	47.43	48.13	23.51	32.19	235.63	114.3	65.41	47.12	52.3	124.33	59.69	127.87	45.43	34.1	100.88	26.58	22.24	47.81	50.34	98.55	46.32	22.71	48.11	157.14	81.63	29.83	21.77	75.88	65.55	38.31	77.62	158.89	61.27	96.82	206.46	111.87	69.34	66.08	62.16	53.91	39.39	51.95	66.7
OLIG1	82.17	48.77	57.66	35.43	66.63	52.42	52.53	54.12	47.26	52.59	57.83	50.26	53.05	31.99	22.55	29.16	47.23	35.64	43.18	71.56	49.52	46.65	45.09	68.06	58.63	40.26	45.09	22.77	21.76	53.52	56.42	60.09	38.14	34.48	53.3	60.98	51.06	46.2	45.34	42.08	63.48	50.86	45.29	73.31	46.92	62.35	62.28	66.75	60.23	47.52
COL6A1	429.17	335.58	471.04	219.42	241.15	265.76	230.8	287.23	346.05	287.32	302.9	309.66	294.7	326.2	306.3	345.88	281.84	397.53	266.97	453.23	380.49	441.57	362.5	363.07	417.79	295.93	272.07	583.95	480.82	375.49	279.31	316.72	351.6	389.32	282.92	403.1	342.82	191.1	251.22	267.14	329.84	472.09	445.24	421.47	358.75	400.76	319.84	408.7	311.32	263.12
CHRDL2	14.19	8.77	67.43	53.89	9.99	104.26	32.49	34.46	27.27	15.72	36.57	10.55	50.13	8.81	12.25	13.42	33.33	138.65	38.19	55.7	8.24	52.75	25.37	11.97	13.19	14.48	16.28	22.7	13.13	14.37	60.98	20.24	19.42	27.94	41.15	80.39	14.42	48.52	11.78	31.05	67.43	48.15	20.4	20.34	11.83	12.24	62.21	11.93	20.8	41.71
PFTK1	72.11	88.55	148.44	50.65	104	93.01	127.63	118.28	47.55	57.96	64.9	142.14	149.51	56.98	95.31	62.68	96.46	106.2	211.77	96.02	105.27	71.87	190.92	47.81	106.56	53.25	74.71	93.2	56.37	59.11	147.44	101.16	66.74	38.44	73.37	44.63	47.74	79.05	61.17	65.28	156.93	87.33	88.75	83.16	53.94	50.71	93.21	43.97	50.82	70.07
PLAT	8.66	4.97	11.27	8.31	4.31	3.99	3.48	8.45	5.39	6.14	2.73	5.58	5.38	5.99	3.74	4.63	3.6	7.81	3.39	4.8	9.39	10.32	8.39	4.11	4.8	9.38	4.69	4.78	15.41	8.98	7.82	4.28	3.9	11.41	3.93	8.97	5.24	3.42	5.93	6.58	5.7	8.41	5.81	6.84	6.44	6.16	5.14	5.45	4.07	12.67
IL10RB	35.37	16.59	47.9	28.38	157.82	38.56	67.06	36.4	22.26	34.05	44.45	21.36	31.81	32.21	47.4	31.61	32.7	44.06	50.6	23.58	30.55	42.74	41.73	19.5	151.55	30.39	21.47	34	18.42	24.27	56.54	62.36	25.93	29.76	31.51	23.31	22.25	36.17	47.69	35.38	26.49	42.19	41.36	41.64	26.12	30.89	42.45	37.07	12.41	35.59
S100A1	39.81	75.7	110.93	30.7	53.18	45.22	90.37	41.93	34.16	32.49	50.31	65.72	100.81	27.62	46.48	43.57	52.47	44.6	69.53	58.35	53.44	39.03	38.92	44.5	53.87	42.5	94.16	50.13	59.68	43.54	51.38	37.77	25.3	39.27	51.92	35.16	26.82	58.29	77.47	32.05	116.15	99.07	61.4	41.69	73.46	10.23	66.95	17.45	15	45.37
CYP26A1	11.27	7.98	16.71	6.88	8.51	4.32	6.7	18.09	51.66	5.58	6.74	169.16	7.67	5.44	5.68	5.37	9.75	6.27	9.93	3.85	8.8	28.05	12.64	6.59	14.09	10.76	5.21	12.62	15.86	5.28	6.54	7.59	9.88	14.57	3.35	2.84	2.67	6.43	19.6	5.49	22.8	9.92	12.64	7.54	17.15	4.06	11.29	4.3	21.44	7.4
