tracking_id	KD	KD	KD	NC	NC	NC
GREM1	7.73902	8.91632	5.07168	0.526319	1.38984	0.526319
CTB-118N6.3	113.55	112.375	107.388	75.713	82.3766	75.713
PEAR1	2.37576	2.15614	2.33703	0.613326	0.711897	0.613326
CPEB2	2.61509	1.96316	2.08381	0.676254	0.645829	0.676254
THBS1	17.7479	14.8646	12.1812	4.67749	5.19001	4.67749
CLK1	17.1994	12.6635	12.4412	3.4436	5.87015	3.4436
PLK3	18.954	14.8257	12.12	5.12652	4.93942	5.12652
IL6	1.88342	1.49565	2.5169	0.100598	0.199189	0.100598
IFFO2	18.5896	16.2148	15.6251	4.65762	6.60469	4.65762
RGAG4	2.20639	1.39305	2.75983	0.500856	0.637532	0.500856
SNORD25	1941.85	1404.36	919.055	440.804	872.812	440.804
PDGFB	25.9288	22.4275	16.2905	5.46013	6.48063	5.46013
TIMP3	5.81788	5.03517	4.08652	1.36267	1.84805	1.36267
LY6K	2.392	1.82281	1.53397	0.168728	0.463504	0.168728
SNORD104	6285.21	5405.48	4180.68	1233.95	1221.64	1233.95
TNFRSF10A	10.8861	7.65278	7.11342	3.18859	2.33602	3.18859
LOC100129617	2.33983	1.58547	1.1972	0.114842	0.397938	0.114842
CLDN20	3.67316	1.56262	1.73846	0.0980959	0.485586	0.0980959
TNFRSF12A	248.743	188.396	206.658	75.1282	78.9756	75.1282
ARHGDIB	4.93519	4.44854	6.29642	1.07159	1.54313	1.07159
DUSP4	3.11503	2.78345	2.10067	1.03295	0.612678	1.03295
SLC6A20	1.93108	1.47331	1.16504	0.462439	0.381519	0.462439
MT1E	51.3939	49.2115	35.0404	12.4008	15.5079	12.4008
DUSP2	5.13203	3.81757	2.63713	0.998558	0.922688	0.998558
PDCL3P4	2.78741	2.95662	6.3324	0.759299	0.501149	0.759299
EMP1	1.67052	2.33572	1.42315	0.265448	0.563142	0.265448
MDM2	61.5793	54.5057	37.7002	15.8795	16.3217	15.8795
CREB5	2.26162	1.92969	2.11873	0.644346	0.73865	0.644346
SNORA61	640.323	636.16	220.405	105.713	104.658	105.713
CLCF1	2.78925	1.54852	1.88241	0.361142	0.485465	0.361142
EMP3	63.9229	48.9096	53.6022	16.7188	21.705	16.7188
SNORD28	2417.97	699.478	228.879	0	434.727	0
SNORA67	551.877	243.275	313.437	85.9046	42.5237	85.9046
NUAK2	40.0103	30.3605	20.0295	8.66609	7.9995	8.66609
FBXW4P1	1.87303	2.21894	1.06378	0.340145	0.336751	0.340145
UTP14A	44.2452	37.4406	35.4241	13.8954	14.2523	13.8954
SERPINB4	2.00675	1.93506	0.88193	0.130153	0.257709	0.130153
CAV1	34.4766	38.0058	36.1188	10.3446	15.4975	10.3446
FAM198B	0.591404	0.319324	0.649383	0.0859012	0.0425103	0.0859012
PRSS23	7.32951	8.90005	10.1357	2.68402	3.38933	2.68402
GPR3	14.3259	8.77091	10.9776	2.94231	4.54829	2.94231
CDKN1A	212.953	165.546	95.0173	43.7491	40.1407	43.7491
DUSP5	24.7629	21.5355	21.6709	7.8061	8.48423	7.8061
CDC42EP3	11.4568	9.30699	7.3498	3.21151	3.30479	3.21151
SLC52A1	3.84051	2.6993	2.55678	1.04162	0.807038	1.04162
CYP26B1	0.579612	0.53362	0.597727	0.0955586	0.0897184	0.0955586
SNORA45A	232.845	149.685	165.304	52.8563	34.8859	52.8563
CHST3	10.2507	8.27582	7.10651	2.9278	3.21584	2.9278
NOL8	11.6263	10.375	8.68104	3.57337	3.72789	3.57337
SNORD32A	1493.7	2304.55	1131.12	949.407	268.553	949.407
LOC644961	6.43161	4.57654	3.02301	1.8124	1.07659	1.8124
SNORD74	1227.76	3255.72	0	0	0	0
SLC30A1	14.7249	10.9666	10.9919	4.02197	4.62755	4.02197
SCG2	1.19221	1.14962	1.17193	0.333089	0.0824415	0.333089
SNORD52	2015.37	2591.17	0	0	0	0
NGF	3.8546	2.60183	3.52705	0.233334	0.924025	0.233334
SLC34A2	1.21002	0.716579	1.22454	0.224882	0.296869	0.224882
PIK3AP1	1.17849	1.00003	0.758563	0.321025	0.190693	0.321025
RFPL4B	1.28043	0.555611	1.09082	0	0.0575521	0
CRIM1	17.5723	16.3055	13.592	5.96292	5.92147	5.96292
BTG2	25.2943	19.8383	16.1943	8.02287	7.16411	8.02287
SNORA10	1453.21	1213.32	436.158	80.4591	143.381	80.4591
KRT80	0.920939	0.486977	0.787375	0.13485	0.133505	0.13485
YRDC	31.4696	26.5603	23.4906	9.60545	11.3039	9.60545
ZNF750	1.09057	0.736129	0.584975	0.132033	0.130716	0.132033
FOXD1	52.0815	43.1698	21.4626	7.16523	10.4987	7.16523
SNORA25	182.603	176.08	69.1392	0	16.4151	0
SNORD80	5346.55	5155.56	3163.07	910.26	1201.57	910.26
PCDHB13	1.15201	0.729991	0.965839	0.17932	0.236708	0.17932
SNORA24	282.307	217.778	195.966	51.2676	33.8374	51.2676
RHOB	99.7473	72.9005	68.8062	23.3836	32.0855	23.3836
ZNF35	9.05971	5.86688	4.79231	2.17755	2.35544	2.17755
ARSJ	3.56776	3.13607	3.23932	1.05782	1.3309	1.05782
SNHG3	86.5359	75.9402	62.8181	26.8331	31.7567	26.8331
DKFZP434I0714	1.66993	2.05965	1.37271	0.29824	0.735929	0.29824
SNORA45B	263.487	254.075	195.966	34.1784	33.8374	34.1784
GJB5	3.20729	1.54636	2.94665	0.770889	0.254399	0.770889
PTBP2	16.5094	14.803	13.9676	5.43751	6.21602	5.43751
CD97	3.28804	2.26183	3.66192	1.1953	0.876868	1.1953
SNORD29	3598.65	2313.4	1703.2	544.601	0	544.601
MSX2	2.76331	1.35842	1.07705	0.541181	0.19483	0.541181
LIM2	2.82204	1.28058	6.4425	0.602921	0.298449	0.602921
SNORD12	471.703	363.882	267.902	171.324	84.8075	171.324
ZNF502	5.18041	3.63529	4.29488	1.46163	1.80918	1.46163
RGL1	1.72535	1.77037	1.40286	0.441871	0.676078	0.441871
LIF	13.0869	10.7661	8.07585	3.98096	4.25491	3.98096
IL11	11.5375	8.13936	8.88821	3.1746	4.0858	3.1746
CER1	22.0185	17.4667	26.6945	6.5002	10.1405	6.5002
CXCL5	18.3982	13.9361	11.1152	5.82759	5.17114	5.82759
RRN3	20.0187	16.5839	12.6812	5.78997	7.02745	5.78997
ZNF263	29.8863	26.2699	20.917	10.7204	10.1382	10.7204
CWC22	22.8116	16.3103	18.1501	6.57306	8.69779	6.57306
GCNT4	2.38537	2.75372	1.90812	0.427087	1.11747	0.427087
GATA3	2.00801	1.53441	2.0459	0.413038	0.749681	0.413038
SNORD17	39.2694	27.3481	20.6508	5.94284	3.92236	5.94284
CTGF	294.274	272.357	208.206	85.5955	111.893	85.5955
HBEGF	4.48646	3.45123	4.10363	1.23586	1.67668	1.23586
GPR56	1.78319	1.72197	2.26262	0.615942	0.730308	0.615942
C7orf13	9.16569	7.88414	6.99998	2.60079	3.55796	2.60079
TAF1D	44.9211	42.4652	29.0593	14.6946	16.9286	14.6946
SCARNA12	40.8969	47.8866	33.1818	21.2199	2.62602	21.2199
EDN1	3.49339	5.02935	2.76467	1.0412	1.54651	1.0412
KDM4E	1.11888	0.588498	0.673977	0.0923596	0.137157	0.0923596
CDH6	0.519124	0.375435	0.601954	0.153195	0.14	0.153195
ATF3	16.8995	14.3879	13.1077	5.75897	6.67424	5.75897
S100A16	41.8453	34.8978	40.2046	15.9743	15.0241	15.9743
SNORA26	250.601	217.484	142.328	0	67.5833	0
PRNP	27.3987	22.0855	24.5694	10.2986	10.0118	10.2986
PEA15	132.025	113.117	109.271	47.0553	52.4037	47.0553
FGF1	1.94327	1.65998	2.03592	0.465741	0.710927	0.465741
SNORD5	848.229	1090.57	1070.55	256.733	508.343	256.733
RP1L1	0.321307	0.255946	0.238024	0.0634238	0.0376746	0.0634238
ZBTB49	3.52829	3.28757	3.11464	1.29589	1.1404	1.29589
ERRFI1	41.7261	37.3718	28.6739	14.7978	15.5178	14.7978
SERTAD1	24.8635	15.809	14.5939	7.29539	7.02739	7.29539
SRRM5	8.31443	6.87208	5.85584	2.96591	3.78162	2.96591
KCNF1	6.77011	4.51957	4.28872	2.03335	1.8258	2.03335
SERPINB3	1.58763	0.998421	0.261358	0.0626774	0	0.0626774
TBC1D9	0.493389	0.455941	0.50595	0.149334	0.0924025	0.149334
PCDHB8	1.34268	1.33648	1.51693	0.471934	0.350419	0.471934
HIST1H2BK	22.3969	17.3105	20.5531	8.38303	7.53092	8.38303
SNORD27	1534.69	295.974	581.082	278.703	0	278.703
SNORA71C	260.517	103.44	116.047	41.7445	13.776	41.7445
ANKRD33B	15.3324	12.4678	9.59299	5.02229	4.89733	5.02229
LPL	2.14535	2.21648	1.88568	0.556571	0.936729	0.556571
LRRN4	1.93407	2.09334	1.71866	0.465918	0.851573	0.465918
JADE2	40.0988	31.5644	27.7606	14.7055	14.1731	14.7055
SIK1	6.99933	5.6089	4.18086	2.12579	2.47343	2.12579
SNORD49A	1670.8	1933.33	2214.15	303.42	0	303.42
CSRP1	49.2085	57.9306	73.3892	16.4883	27.6335	16.4883
DNAJC25	8.50036	6.78848	6.63375	3.14299	2.89194	3.14299
LINC00925	0.625306	0.419457	0.669105	0.123431	0.17108	0.123431
SNORD48	3358.95	3238.97	1271.8	1219.99	603.906	1219.99
CLEC11A	17.5997	13.1417	16.9158	6.55619	6.49077	6.55619
ZNF33B	4.90661	3.83966	4.16217	1.93632	1.73039	1.93632
CACNG4	7.23674	7.9844	8.66622	3.08686	3.75199	3.08686
TSPYL4	17.1713	16.078	15.9922	7.25605	7.13393	7.25605
MT2A	243.768	186.88	141.409	52.2426	82.119	52.2426
FAM71F1	7.10206	7.31029	6.13467	2.28499	3.20052	2.28499
SEC14L1P1	2.20101	1.59179	1.51916	0.666179	0.53587	0.666179
MT1M	14.2552	8.42498	7.39976	2.08773	2.48027	2.08773
RELT	7.56887	7.63793	5.96953	2.92407	3.58847	2.92407
WNT3	8.47726	7.60953	6.52388	2.62839	3.84129	2.62839
DDIT3	12.0558	10.7647	10.4331	6.68573	4.46828	6.68573
ETV5	24.8204	21.6505	18.0097	9.03003	10.0668	9.03003
KCNN4	3.51985	1.90276	2.01928	1.1622	0.431477	1.1622
PER2	4.79425	4.33299	3.4329	1.95975	1.73346	1.95975
ZNF561	15.3012	14.8995	14.6497	6.59437	6.79872	6.59437
PRR5L	3.10499	2.93493	3.97858	1.07306	1.71735	1.07306
TNFAIP2	15.0669	11.3646	10.7936	4.36995	6.5141	4.36995
UTP15	8.83613	8.69174	6.30458	3.2456	3.75208	3.2456
CCNL1	34.5941	30.3729	28.2439	13.404	14.3593	13.404
TNFSF9	4.68205	4.01316	5.83888	2.56431	1.13574	2.56431
FOSB	1.85434	1.23118	0.920801	0.414045	0.535395	0.414045
SOCS2	11.2197	7.96869	8.81262	4.2778	4.03598	4.2778
FOXC2	3.23458	3.11904	2.29634	0.667508	1.25561	0.667508
SNHG10	14.3629	11.8515	8.77636	4.12725	5.63434	4.12725
RUNX1	1.12168	0.712533	0.766333	0.27406	0.387373	0.27406
SNORA57	284.59	142.701	226.285	103.364	71.6331	103.364
DES	4.62164	2.56123	2.61479	1.25413	1.19386	1.25413
SPP1	337.845	323.379	220.983	121.731	127.231	121.731
KLK6	4.51724	3.45093	2.96854	1.20685	1.48114	1.20685
CD44	10.8624	9.32589	9.93522	3.5845	4.81926	3.5845
SNORD35B	999.568	535.479	630.779	0	199.68	0
LINC01311	9.05754	7.71313	8.90769	2.34981	4.33549	2.34981
MYOCD	1.75351	1.62825	1.15574	0.519003	0.723939	0.519003
TNFRSF10D	12.0505	10.9919	10.5435	4.84996	5.27002	4.84996
SLC35G2	4.43425	6.12237	7.03893	2.12161	2.6986	2.12161
DDX39A	206.447	162.727	153.212	77.7798	79.2749	77.7798
JPH2	1.39851	1.38197	2.22129	0.538078	0.724484	0.538078
DNER	4.38869	3.48109	3.51769	1.51043	1.62263	1.51043
ABCC9	2.32688	1.70216	2.20257	0.789275	0.997788	0.789275
GPRC5A	1.02554	0.553785	1.12607	0.148991	0.29501	0.148991
SLC20A1	45.6514	41.5128	38.6452	18.8305	19.9347	18.8305
MYOF	4.98608	5.68209	5.35318	2.22771	2.55866	2.22771
FASTKD3	4.56073	3.90429	3.95846	1.54537	2.0209	1.54537
RFK	9.84756	8.03168	7.18616	3.86028	3.43179	3.86028
LSG1	36.9795	32.301	27.5881	15.0178	14.752	15.0178
EREG	0.269993	0.35502	0.348503	0	0.0882581	0
RSRP1	33.7528	27.9805	24.3697	12.1966	13.8552	12.1966
C16orf91	34.5066	25.6994	28.8126	12.3546	15.1316	12.3546
IL12A	2.97952	1.69005	0.580658	0.557	0.31511	0.557
KIAA0247	5.75474	5.28684	4.53612	2.14715	2.46433	2.14715
ZNF239	6.95876	5.30936	4.68817	2.60672	2.43952	2.60672
CAPN10-AS1	3.13195	3.30028	2.23111	1.05545	1.27712	1.05545
MIR637	486.848	176.046	230.42	55.2579	109.413	55.2579
LOC101928372	21.8062	18.426	14.6298	8.31816	8.18464	8.31816
MT1G	138.393	122.556	103.73	41.5455	67.0282	41.5455
PAG1	0.628511	0.695478	0.692464	0.196468	0.342705	0.196468
PARD6B	6.64662	5.15109	4.38077	2.79407	2.01379	2.79407
LOC645166	6.58301	7.12275	8.33599	2.24301	3.38065	2.24301
TNC	7.37197	9.06662	8.23909	3.01809	4.59241	3.01809
SBDSP1	12.6089	11.6947	11.3933	5.49053	4.89983	5.49053
HOXB2	4.81536	2.62124	3.38182	1.05784	1.60583	1.05784
MMP24	39.1319	31.8001	26.0491	15.7841	12.4588	15.7841
CSF1	3.17945	2.93904	3.23037	1.57189	1.40062	1.57189
HMOX1	23.1885	17.8277	16.9813	7.82462	9.43671	7.82462
ZNF304	7.3278	6.85228	5.98516	3.09582	3.17984	3.09582
DUSP6	14.9385	13.2236	9.51393	4.22049	6.08739	4.22049
CYGB	6.30903	8.37837	6.70538	3.31659	3.383	3.31659
KLHL18	16.0886	12.689	11.7969	6.56298	6.19529	6.56298
RNU86	27442.8	7938.75	7793.01	2491.83	7400.91	2491.83
SNRNP48	11.6821	8.91683	8.54597	4.89382	4.05799	4.89382
TWISTNB	15.9875	15.8423	14.1579	7.03116	7.35802	7.03116
TIMM23B	4.95991	5.5076	4.4578	2.59292	1.75653	2.59292
PCDHB2	17.9987	14.0964	12.3579	6.71366	6.91254	6.71366
THSD7A	0.251047	0.373205	0.584186	0.180463	0.103436	0.180463
LAMB3	0.963652	1.01122	1.31462	0.248897	0.506161	0.248897
PALM2	0.816043	0.996661	0.739415	0.335279	0.385252	0.335279
TAGLN2	274.353	263.909	300.443	117.247	149.609	117.247
C10orf55	1.59951	0.952268	1.15736	0.2135	0.253644	0.2135
LYPD1	11.888	8.29042	11.8543	3.77006	5.01551	3.77006
MAB21L3	13.2096	11.734	10.6351	5.05202	6.00193	5.05202
ZNF383	1.96754	2.38914	1.93141	0.86019	0.655082	0.86019
SNORA32	155.49	274.882	98.1222	47.0622	46.5926	47.0622
NHLRC1	1.35024	1.79026	1.75739	0.510845	0.606898	0.510845
BHLHE40	17.3811	13.6154	16.0168	6.27109	8.24353	6.27109
PDE1C	0.384643	0.838404	0.582039	0.076308	0.117607	0.076308
FOS	6.50156	3.64371	3.26122	1.91737	1.79833	1.91737
AXL	37.592	35.54	32.8763	16.9634	16.9371	16.9634
INHBA	5.12334	1.64677	2.03372	1.00044	1.13903	1.00044
HSD3BP4	0.332425	0.382194	0.326768	0.162532	0.0689615	0.162532
RNF25	23.1239	20.8319	19.9951	8.86366	11.2927	8.86366
ZNF614	7.96428	7.09443	6.36661	3.54968	3.20867	3.54968
WHAMM	5.65239	4.70462	5.09698	2.37712	2.29992	2.37712
MAP3K14	7.22892	5.77222	3.28931	1.98069	2.16615	1.98069
CAV2	7.44641	8.73456	9.25461	3.46324	4.65796	3.46324
NUP35	27.8081	23.1503	22.7811	11.4211	11.988	11.4211
MIS12	12.2959	12.1773	11.0494	5.31822	5.65354	5.31822
GNAT2	1.30927	0.81161	1.15081	0.25475	0.168139	0.25475
ARID5B	0.859656	0.721491	0.572477	0.202371	0.328614	0.202371
IER3	35.3182	25.5677	23.0151	12.3709	13.5665	12.3709
KIAA0825	1.88257	1.71117	1.58731	0.728594	0.804555	0.728594
GATA2	2.10048	2.0359	1.09941	0.646526	0.76809	0.646526
SGMS2	0.680301	0.637126	0.250169	0.154269	0.147801	0.154269
KLF6	18.719	14.7771	13.361	7.2219	7.81697	7.2219
ACTC1	23.5595	28.87	43.3644	8.36473	14.8	8.36473
KLF7	8.7297	8.70551	7.81604	3.75606	4.455	3.75606
DSG3	1.13725	1.05746	1.19183	0.387237	0.565931	0.387237
LTBR	9.24977	7.15314	8.09668	3.91738	3.08671	3.91738
RNF19B	26.2478	22.5313	20.4412	11.9522	10.5142	11.9522
GNA15	0.987111	0.75146	0.491777	0.094348	0.186813	0.094348
ZNF675	8.2858	7.57205	8.56082	3.29464	4.3328	3.29464
F5	0.423463	0.221668	0.40084	0.0659157	0.163145	0.0659157
PGF	12.5518	10.1206	7.1652	4.2163	5.06721	4.2163
NEXN	3.98981	3.25346	5.32238	2.00946	2.15194	2.00946
SYT16	0.666389	0.678283	0.700876	0.235312	0.166403	0.235312
ZSCAN12	5.91651	5.72347	4.08092	2.27193	2.57636	2.27193
SNORD38B	2399.06	385.56	378.482	0	0	0
SPRY4	67.3076	61.9649	48.1513	28.5196	29.3639	28.5196
IL6ST	1.73115	1.77453	1.55348	0.602872	0.957226	0.602872
PGM5P2	17.8102	11.548	12.0918	6.07838	6.79065	6.07838
OTUD6B	10.9359	10.4247	10.1322	4.80936	5.27537	4.80936
DIEXF	3.7105	3.42624	3.23923	1.8453	1.50866	1.8453
LOC642236	9.51724	8.45275	8.65319	3.41122	4.39033	3.41122
SNHG1	178.42	149.252	114.916	72.8062	71.2255	72.8062
LOC100288181	0.871865	0.917149	0.48767	0.0719693	0.106877	0.0719693
FLJ32255	0.55248	0.696666	0.603421	0.115767	0.152816	0.115767
SNORD81	0	0	0	0	0	0
PSD	3.55273	3.20202	3.53091	6.75399	5.97568	6.75399
TMEM44	3.09269	3.7586	4.41632	7.99787	8.69151	7.99787
TNNI3	13.2937	14.6266	11.7769	31.2603	25.2796	31.2603
ADAMTS8	3.26477	3.48113	3.62523	8.03821	6.71633	8.03821
ADARB2	0.290553	0.191028	0.225025	0.515659	0.664855	0.515659
APC2	0.3275	0.336854	0.217003	0.693871	0.647693	0.693871
SH3GLB2	12.1859	13.9862	17.6013	30.9148	30.355	30.9148
CACNB3	3.39088	5.03149	4.51864	9.21894	8.39895	9.21894
ASS1	17.7077	20.1857	17.8221	42.572	34.6277	42.572
TIGD3	0.739483	0.950757	1.16663	2.07033	2.99141	2.07033
NEIL1	2.04517	3.02572	2.2361	6.00062	5.21678	6.00062
DHRS12	1.48466	1.81268	3.2988	6.36579	5.21195	6.36579
LOXL2	9.87687	11.5276	12.4561	23.7878	22.4948	23.7878
PDK1	3.97271	4.46792	5.23186	11.7393	9.74288	11.7393
ZNF395	8.95046	9.86044	11.2442	21.3363	20.1044	21.3363
PSMB9	2.18686	2.48087	2.31357	6.65791	5.31944	6.65791
ARSA	2.1591	2.064	1.72517	4.50695	4.17991	4.50695
DEGS2	0.452026	1.13329	0.427878	2.87311	1.6254	2.87311
SCGB1B2P	3.00014	1.84098	3.87254	8.17247	8.58129	8.17247
LYRM9	0.595178	0.90187	0.724348	2.54773	2.14014	2.54773
TMEM249	1.51173	1.34498	1.77312	4.55023	4.3474	4.55023
ESYT2	14.3638	14.4513	13.1676	31.1407	27.0123	31.1407
FAXDC2	1.78835	1.42456	1.65601	4.73032	2.97064	4.73032
PRSS12	2.18713	2.20487	1.78798	4.852	4.17801	4.852
GPR64	3.15834	3.98053	4.04555	9.11005	6.84888	9.11005
NBEA	1.09424	1.40047	1.47834	2.85503	3.26276	2.85503
PHF7	3.81272	3.62757	2.59241	7.66592	7.18069	7.66592
UROS	7.26988	8.83101	10.7244	20.4892	18.757	20.4892
MOCOS	1.50631	1.494	1.83322	3.47798	4.06229	3.47798
ABAT	0.746109	0.691991	0.579699	1.7324	1.52627	1.7324
GALT	8.64905	7.19171	8.04423	17.8575	15.7667	17.8575
R3HDM2	7.9495	9.83187	9.46054	19.4317	17.9691	19.4317
ECEL1	3.63814	4.04508	3.93265	8.93657	7.61456	8.93657
KIAA1462	0.274574	0.425927	0.259905	0.943063	0.622436	0.943063
PSKH1	6.42828	6.93354	9.62913	17.1498	15.2808	17.1498
LINC00173	3.1263	4.14817	5.70124	7.59221	6.52978	7.59221
KIAA0895L	5.02833	4.91423	6.75363	13.0803	10.9646	13.0803
PIP5KL1	2.19148	2.20981	4.18717	7.88177	6.03866	7.88177
KCNQ2	25.2747	29.6036	39.9273	69.819	65.9038	69.819
TMEM91	4.34028	4.95609	5.76922	13.2962	12.272	13.2962
SEMA3G	0.193214	0.442491	0.274338	1.20615	0.629625	1.20615
TMEM143	4.14152	4.96637	6.08143	11.378	10.4053	11.378
CERCAM	3.61984	2.97017	3.57944	8.14461	6.60553	8.14461
CDH15	0.163591	0.118311	0.193565	0.816984	0.625007	0.816984
ATHL1	3.86283	4.7842	5.09893	10.2007	9.4936	10.2007
DACT3	2.02304	2.34889	2.93107	6.74795	4.37952	6.74795
SUSD3	3.48878	1.97369	3.46697	8.94494	5.54521	8.94494
ATP2A3	8.62066	10.1419	12.8631	23.3218	21.4108	23.3218
PPP1R13L	12.0623	12.6001	13.884	28.9334	25.0654	28.9334
AMPH	0.631297	1.2175	0.863168	2.10184	2.30158	2.10184
RASGRP2	4.26821	3.5913	3.92893	8.60159	7.98635	8.60159
CORO6	0.445619	0.52519	0.562417	1.52859	1.46883	1.52859
KCNH2	4.28733	5.18772	4.38446	10.5838	8.82234	10.5838
EPHX2	1.0148	1.81494	1.94419	3.64412	3.91153	3.64412
FBXL7	5.50024	6.4557	5.91315	13.2824	11.9024	13.2824
COL11A2	0.754323	0.969229	0.918752	1.90354	1.38764	1.90354
C15orf27	0.296809	0.286206	0.515079	0.988186	1.37855	0.988186
CALCOCO1	2.52498	4.67899	4.45971	9.8629	7.41661	9.8629
LOC728392	4.63287	4.79227	5.66111	13.5379	9.54099	13.5379
SYNE1	0.0757517	0.0884244	0.0717048	0.204047	0.191377	0.204047
CCDC159	0.379179	0.853146	1.55533	3.32821	2.27242	3.32821
C16orf96	0.539217	0.714938	0.957019	2.23387	1.54507	2.23387
L3MBTL1	1.65488	2.29936	1.95014	4.91693	3.55426	4.91693
LIN7A	1.48152	1.4286	1.30221	4.03571	4.1857	4.03571
AMN1	0.686439	1.27681	1.35858	2.61652	3.27652	2.61652
