gene_id	external_gene_name	entrezgene_id
ENSMUSG00000063011	Msln	56047
ENSMUSG00000025738	Fbxl16	214931
ENSMUSG00000046008	Pnlip	69060
ENSMUSG00000036880	Acaa2	52538
ENSMUSG00000012443	Kif11	16551
ENSMUSG00000096730	Vmn2r122	22308
ENSMUSG00000024193	Phf1	21652
ENSMUSG00000025091	Pnliprp2	18947
ENSMUSG00000060224	Pyroxd2	74580
ENSMUSG00000024598	Fbn2	14119
ENSMUSG00000024866	Acy3	71670
ENSMUSG00000033022	Cdo1	12583
ENSMUSG00000035283	Adrb1	11554
ENSMUSG00000025094	Slc18a2	214084
ENSMUSG00000024556	Me2	107029
ENSMUSG00000061808	Ttr	22139
ENSMUSG00000024952	Rps6ka4	56613
ENSMUSG00000071506	Tmem139	109218
ENSMUSG00000041429	Nthl1	18207
ENSMUSG00000033826	Dnah8	13417
ENSMUSG00000024241	Sos1	20662
ENSMUSG00000024317	Rnf138	56515
ENSMUSG00000024963	Dnajc4	57431
ENSMUSG00000073640	Rpl27-ps3	108167922
ENSMUSG00000038299	Wdr36	225348
ENSMUSG00000092166	Gm7942	108168684
ENSMUSG00000092166	Gm7942	108169098
ENSMUSG00000092166	Gm7942	108169100
ENSMUSG00000092166	Gm7942	108169101
ENSMUSG00000034820	Cpsf7	269061
ENSMUSG00000094121	Ccl21b	100041504
ENSMUSG00000093828	Ccl27a	100039939
ENSMUSG00000035804	Ins1	16333
ENSMUSG00000024386	Proc	19123
ENSMUSG00000040385	Ppp1ca	19045
ENSMUSG00000060450	Rnf14	56736
ENSMUSG00000094337	Gm3286	665290
ENSMUSG00000054008	Ndst1	15531
ENSMUSG00000074913	Gm815	329047
ENSMUSG00000059040	Eno1b	433182
ENSMUSG00000024301	Kifc5b	16580
ENSMUSG00000039183	Nubp2	26426
ENSMUSG00000035342	Lzts2	226154
ENSMUSG00000001700	Gramd3	107022
ENSMUSG00000096873	Ccl21c	65956
ENSMUSG00000025035	Arl3	56350
ENSMUSG00000045629	Sh3tc2	225608
ENSMUSG00000071645	Tut1	70044
ENSMUSG00000024251	Thada	240174
ENSMUSG00000024411	Aqp4	11829
ENSMUSG00000024713	Pcsk5	18552
ENSMUSG00000024290	Rock1	19877
ENSMUSG00000024135	Srbd1	78586
ENSMUSG00000039529	Atp8b1	54670
ENSMUSG00000056671	Prelid2	77619
ENSMUSG00000042660	Wdr55	67936
ENSMUSG00000071858	Gm94	225443
ENSMUSG00000024512	Dynap	75577
ENSMUSG00000024544	Ldlrad4	52662
ENSMUSG00000050623	Catsperz	67077
ENSMUSG00000024873	Cnih2	12794
ENSMUSG00000033966	Cdkl4	381113
ENSMUSG00000002625	Akap8l	54194
ENSMUSG00000070720	Tmem200b	623230
ENSMUSG00000024258	Polr2d	69241
ENSMUSG00000050138	Kcnk12	210741
ENSMUSG00000047658	Gal3st3	545276
ENSMUSG00000040560	Wdr7	104082
ENSMUSG00000024781	Lipa	16889
ENSMUSG00000026614	Slc30a10	226781
ENSMUSG00000047810	Ccdc88b	78317
ENSMUSG00000045664	Cdc42ep2	104252
ENSMUSG00000046668	Cxxc5	67393
ENSMUSG00000055660	Mettl4	76781
ENSMUSG00000001910	Nacc1	66830
ENSMUSG00000024960	Plcb3	18797
ENSMUSG00000071528	Usmg5	66477
ENSMUSG00000032735	Ablim3	319713
ENSMUSG00000049090	Zadh2	225791
ENSMUSG00000116158	Kiss1	280287
ENSMUSG00000091863	Cldn34a	635396
ENSMUSG00000025017	Pik3ap1	83490
ENSMUSG00000056612	Ppp1r14b	18938
ENSMUSG00000053375	Atp6v1e2	74915
ENSMUSG00000033016	Nfatc1	18018
ENSMUSG00000024420	Zfp521	225207
ENSMUSG00000024666	Tmem138	72982
ENSMUSG00000053617	Sh3pxd2a	14218
ENSMUSG00000047656	Trpt1	107328
ENSMUSG00000024493	Lars	107045
ENSMUSG00000045394	Epcam	17075
ENSMUSG00000074922	Fam122a	68034
ENSMUSG00000044857	Lemd2	224640
ENSMUSG00000054200	Ffar4	107221
ENSMUSG00000041840	Haus1	225745
ENSMUSG00000024987	Cyp26a1	13082
ENSMUSG00000034484	Snx2	67804
ENSMUSG00000040414	Slc25a28	246696
ENSMUSG00000029490	Mfsd7a	243197
ENSMUSG00000024552	Slc14a2	27411
ENSMUSG00000024926	Kat5	81601
ENSMUSG00000024975	Pdcd4	18569
ENSMUSG00000053799	Exoc6	107371
ENSMUSG00000023350	4921501E09Rik	74042
ENSMUSG00000037071	Scd1	20249
ENSMUSG00000071652	Ints5	109077
ENSMUSG00000046805	Mpeg1	17476
ENSMUSG00000095247	Ccl27a	100861978
ENSMUSG00000095199	Zfp967	100303732
ENSMUSG00000042179	Pnliprp1	18946
ENSMUSG00000056829	Foxb2	14240
ENSMUSG00000063904	Dpp3	75221
ENSMUSG00000025026	Add3	27360
ENSMUSG00000048572	Tmem252	226040
ENSMUSG00000024072	Yipf4	67864
ENSMUSG00000025202	Scd3	30049
ENSMUSG00000033107	Rnf125	67664
ENSMUSG00000074872	Ctxn2	381418
ENSMUSG00000007338	Mrpl49	18120
ENSMUSG00000024910	Ctsw	13041
ENSMUSG00000096645	Spin2e	100862118
ENSMUSG00000024610	Cd74	16149
ENSMUSG00000024535	Snx24	69226
ENSMUSG00000056629	Fkbp2	14227
ENSMUSG00000024234	Mtpap	67440
ENSMUSG00000041362	Shtn1	71653
ENSMUSG00000041491	Cep78	208518
ENSMUSG00000039148	Sart1	20227
ENSMUSG00000041062	Mslnl	328783
ENSMUSG00000024528	Srfbp1	67222
ENSMUSG00000033610	Pank1	75735
ENSMUSG00000045569	Mc2r	17200
ENSMUSG00000049562	Ap5b1	381201
ENSMUSG00000024521	Pmaip1	58801
ENSMUSG00000024560	Cxxc1	74322
ENSMUSG00000059326	Csf2ra	12982
ENSMUSG00000069911	Fam196b	574403
ENSMUSG00000044646	Zbtb7c	207259
ENSMUSG00000044390	Tigd3	332359
ENSMUSG00000068068	Gm7735	102637417
ENSMUSG00000034445	Cyb561a3	225912
ENSMUSG00000025049	Taf5	226182
ENSMUSG00000041238	Rbbp8	225182
ENSMUSG00000062464	Cyp4f37	677156
ENSMUSG00000024664	Fads3	60527
ENSMUSG00000024669	Cd5	12507
ENSMUSG00000024863	Mbl2	17195
ENSMUSG00000092008	Cyp2c69	100043108
ENSMUSG00000054237	Fra10ac1	70567
ENSMUSG00000024400	Wdr33	74320
ENSMUSG00000036748	Cuedc2	67116
ENSMUSG00000046585	Cfap58	381229
ENSMUSG00000045052	Prlhr	226278
ENSMUSG00000044982	Sft2d3	67158
ENSMUSG00000054843	Atrnl1	226255
ENSMUSG00000095456	Il11ra2	100861969
ENSMUSG00000094601	Gm5926	546205
ENSMUSG00000024125	Sbpl	638345
ENSMUSG00000036103	Colec12	140792
ENSMUSG00000094887	AC163611.2	100041806
ENSMUSG00000071862	Lrrtm2	107065
ENSMUSG00000024313	Mep1b	17288
ENSMUSG00000024381	Bin1	30948
ENSMUSG00000032905	Atg12	67526
ENSMUSG00000024033	Rsph1	22092
ENSMUSG00000025429	Pstpip2	19201
ENSMUSG00000093806	Asmt	107626
ENSMUSG00000037104	Socs5	56468
ENSMUSG00000024383	Map3k2	26405
ENSMUSG00000095029	Gm36079	102639868
ENSMUSG00000024253	Dync2li1	213575
ENSMUSG00000024357	Sil1	81500
ENSMUSG00000116179	Olfr290	258411
ENSMUSG00000043789	Vwce	71768
ENSMUSG00000096194	Btbd35f2	100040482
ENSMUSG00000024958	Gpr137	107173
ENSMUSG00000073563	Csnk1g3	70425
ENSMUSG00000024097	Srsf7	225027
ENSMUSG00000005370	Msh6	17688
ENSMUSG00000039616	Mocos	68591
ENSMUSG00000053560	Ier2	15936
ENSMUSG00000051490	Foxd4	14237
ENSMUSG00000067889	Sptbn2	20743
ENSMUSG00000095098	Ccdc85b	240514
ENSMUSG00000024785	Rcl1	59028
ENSMUSG00000024588	Fech	14151
ENSMUSG00000024841	Eif1ad	69860
ENSMUSG00000024261	Syt4	20983
ENSMUSG00000024897	Apba1	319924
ENSMUSG00000024800	Rpp30	54364
ENSMUSG00000039628	Hs3st6	328779
ENSMUSG00000024976	Shoc2	56392
ENSMUSG00000095909	Gm10324	628709
ENSMUSG00000015575	Atp6v0e	11974
ENSMUSG00000053536	Cstf2t	83410
ENSMUSG00000054648	Zfp869	66869
ENSMUSG00000006850	Tmco6	71983
ENSMUSG00000024990	Rbp4	19662
ENSMUSG00000115956	Hoxd4	15436
ENSMUSG00000056078	Lipm	78753
ENSMUSG00000091519	Skor2	664805
ENSMUSG00000034371	Tkfc	225913
ENSMUSG00000071655	Ubxn1	225896
ENSMUSG00000011752	Pgam1	18648
ENSMUSG00000025218	Poll	56626
ENSMUSG00000050321	Neto1	246317
ENSMUSG00000054640	Slc8a1	20541
ENSMUSG00000057411	Fam173a	214917
ENSMUSG00000025178	Pi4k2a	84095
ENSMUSG00000025090	Ccdc172	75645
ENSMUSG00000045903	Npas4	225872
ENSMUSG00000094620	Cldn34c3	382265
ENSMUSG00000025203	Scd2	20250
ENSMUSG00000025226	Fbxl15	68431
ENSMUSG00000004054	Map3k11	26403
ENSMUSG00000003228	Grk5	14773
ENSMUSG00000073532	Gm7276	108168393
ENSMUSG00000107108	Gm9936	791292
ENSMUSG00000025225	Nfkb2	18034
ENSMUSG00000025034	Trim8	93679
ENSMUSG00000025078	Nhlrc2	66866
ENSMUSG00000024286	Ccny	67974
ENSMUSG00000071847	Apcdd1	494504
ENSMUSG00000036223	Ska1	66468
ENSMUSG00000024525	Impa2	114663
ENSMUSG00000094441	Zfp955a	77652
ENSMUSG00000036855	Gjd4	225152
ENSMUSG00000062783	Csprs	114564
ENSMUSG00000062783	Csprs	665378
ENSMUSG00000095474	Cldn34c2	625591
ENSMUSG00000078735	Il11ra2	16158
ENSMUSG00000067872	Ccdc87	399599
ENSMUSG00000035885	Cox8a	12868
ENSMUSG00000091497	Gm44	212952
ENSMUSG00000079774	AC087559.3	545611
ENSMUSG00000079774	AC087559.3	100043920
ENSMUSG00000079774	AC087559.3	100862261
ENSMUSG00000079774	AC087559.3	100862324
ENSMUSG00000074925	Ptar1	72351
ENSMUSG00000116045	Hgs	15239
ENSMUSG00000035783	Acta2	11475
ENSMUSG00000024855	Pacs1	107975
ENSMUSG00000024999	Noc3l	57753
ENSMUSG00000025036	Sfxn2	94279
ENSMUSG00000025066	Sfr1	67788
ENSMUSG00000036097	Slf2	226151
ENSMUSG00000046229	Scand1	19018
ENSMUSG00000025888	Casp1	12362
ENSMUSG00000061802	Armc4	74934
ENSMUSG00000024404	Riok3	66878
ENSMUSG00000036501	Fam13b	225358
ENSMUSG00000035521	Gnptg	214505
ENSMUSG00000001473	Tubb6	67951
ENSMUSG00000024553	Galr1	14427
ENSMUSG00000025171	Ubtd1	226122
ENSMUSG00000025212	Sfxn3	94280
ENSMUSG00000064105	Cnnm2	94219
ENSMUSG00000079258	Calhm1	546729
ENSMUSG00000024353	Mzb1	69816
ENSMUSG00000041057	Wdr43	72515
ENSMUSG00000020205	Phlda1	21664
ENSMUSG00000063652	Slc22a21	56517
ENSMUSG00000032834	Pwp2	110816
ENSMUSG00000043257	Pigv	230801
ENSMUSG00000032123	Dpagt1	13478
ENSMUSG00000025792	Slc25a10	27376
ENSMUSG00000020758	Itgb4	192897
ENSMUSG00000000560	Gabra2	14395
ENSMUSG00000020611	Gna13	14674
ENSMUSG00000035441	Myo1d	338367
ENSMUSG00000069248	Serpinb6e	435350
ENSMUSG00000052533	Nup188	227699
ENSMUSG00000020131	Pcsk4	18551
ENSMUSG00000021072	Tmx1	72736
ENSMUSG00000037922	Bank1	242248
ENSMUSG00000039220	Ppp1r10	52040
ENSMUSG00000022622	Acr	11434
ENSMUSG00000025127	Gcgr	14527
ENSMUSG00000024906	Mus81	71711
ENSMUSG00000013033	Adgrl1	330814
ENSMUSG00000033701	Acbd6	72482
ENSMUSG00000112023	Lilr4b	14727
ENSMUSG00000017405	Nek8	140859
ENSMUSG00000020873	Slc35b1	110172
ENSMUSG00000071073	Lrrc73	224813
ENSMUSG00000021470	Ercc6l2	76251
ENSMUSG00000020075	Ddx21	56200
ENSMUSG00000038020	Rapgefl1	268480
ENSMUSG00000090841	Myl6	17904
ENSMUSG00000021629	Slc30a5	69048
ENSMUSG00000020604	Arsg	74008
ENSMUSG00000053964	Lgals4	16855
ENSMUSG00000021943	Gdf10	14560
ENSMUSG00000042426	Dhx29	218629
ENSMUSG00000038013	Wipf2	68524
ENSMUSG00000005103	Wdr1	22388
ENSMUSG00000112148	Lilrb4a	14728
ENSMUSG00000022139	Mbnl2	105559
ENSMUSG00000041920	Slc16a6	104681
ENSMUSG00000024007	Ppil1	68816
ENSMUSG00000012296	Tjap1	74094
ENSMUSG00000090077	Lime1	72699
ENSMUSG00000015467	Egfl8	81701
ENSMUSG00000032812	Arap1	69710
ENSMUSG00000001962	Fam50a	108160
ENSMUSG00000020610	Amz2	13929
ENSMUSG00000069729	Arid1b	239985
ENSMUSG00000059810	Rgs3	50780
ENSMUSG00000036745	Ttll7	70892
ENSMUSG00000016024	Lbp	16803
ENSMUSG00000039824	Myl6b	216459
ENSMUSG00000070953	Rabepk	227746
ENSMUSG00000027582	Zgpat	229007
ENSMUSG00000021096	Ppm1a	19042
ENSMUSG00000061111	Mcrip1	192173
ENSMUSG00000062175	Tgif2	228839
ENSMUSG00000025129	Ppp1r27	68701
ENSMUSG00000034254	Agpat1	55979
ENSMUSG00000072625	Gdf2	12165
ENSMUSG00000041534	Rbp3	19661
ENSMUSG00000033027	Klrc3	58179
ENSMUSG00000044519	Zfp488	382867
ENSMUSG00000005069	Pex5	19305
ENSMUSG00000115726	Gm30083	102631856
ENSMUSG00000063334	Krr1	52705
ENSMUSG00000054676	1600014C10Rik	72244
ENSMUSG00000038671	Arfrp1	76688
ENSMUSG00000052180	Serpinb6c	97848
ENSMUSG00000020076	Ddx50	94213
ENSMUSG00000039810	Zc3h10	103284
ENSMUSG00000029651	Mtus2	77521
ENSMUSG00000058546	Rpl23a	268449
ENSMUSG00000025366	Esyt1	23943
ENSMUSG00000019437	Tlcd1	68385
ENSMUSG00000035504	Reep6	70335
ENSMUSG00000027514	Zbp1	58203
ENSMUSG00000056888	Glipr1	73690
ENSMUSG00000022799	Arhgap31	12549
ENSMUSG00000035413	Tmem98	103743
ENSMUSG00000041556	Fbxo2	230904
ENSMUSG00000025969	Nrp2	18187
ENSMUSG00000038400	Pmepa1	65112
ENSMUSG00000041895	Wipi1	52639
ENSMUSG00000052712	BC004004	80748
ENSMUSG00000015962	1700016C15Rik	69428
ENSMUSG00000055069	Rab39	270160
ENSMUSG00000027709	Mccc1	72039
ENSMUSG00000063428	Ddo	70503
ENSMUSG00000027518	1700021F07Rik	72221
ENSMUSG00000017499	Cdc6	23834
ENSMUSG00000019878	Hsf2	15500
ENSMUSG00000027517	Ankrd60	70065
ENSMUSG00000020334	Slc22a4	30805
ENSMUSG00000033021	Gmppa	69080
ENSMUSG00000052736	Klrc2	16642
ENSMUSG00000037376	Trmt6	66926
ENSMUSG00000025130	P4hb	18453
ENSMUSG00000038002	Cramp1l	57354
ENSMUSG00000013701	Timm23	53600
ENSMUSG00000027708	Dcun1d1	114893
ENSMUSG00000037098	Rab11fip3	215445
ENSMUSG00000030268	Bcat1	12035
ENSMUSG00000020612	Prkar1a	19084
ENSMUSG00000027323	Rad51	19361
ENSMUSG00000042417	Ccno	218630
ENSMUSG00000038762	Abcf1	224742
ENSMUSG00000074651	Mcidas	622408
ENSMUSG00000052302	Tbc1d30	74694
ENSMUSG00000028161	Ppp3ca	19055
ENSMUSG00000020213	Glipr1l1	69286
ENSMUSG00000025132	Arhgdia	192662
ENSMUSG00000030167	Klrc1	16641
ENSMUSG00000031077	Fadd	14082
ENSMUSG00000101959	Ldhal6b	106557
ENSMUSG00000004945	Tmem242	70544
ENSMUSG00000020214	Glipr1l2	67537
ENSMUSG00000070730	Rmdn3	67809
ENSMUSG00000049387	Cox7b2	78174
ENSMUSG00000045312	Lhfpl2	218454
ENSMUSG00000042195	Slc35f2	72022
ENSMUSG00000047696	Ccdc144b	241943
ENSMUSG00000034707	Gns	75612
ENSMUSG00000025134	Alyref	21681
ENSMUSG00000057522	Spop	20747
ENSMUSG00000042045	Sln	66402
ENSMUSG00000048285	Frmd6	319710
ENSMUSG00000032842	Abcc10	224814
ENSMUSG00000019877	Serinc1	56442
ENSMUSG00000015961	Adss	11566
ENSMUSG00000025135	Anapc11	66156
ENSMUSG00000039159	Ube2h	22214
ENSMUSG00000025795	Rassf3	192678
ENSMUSG00000031075	Ano1	101772
ENSMUSG00000036923	Stox1	216021
ENSMUSG00000030029	Lrig1	16206
ENSMUSG00000067714	Lpar5	381810
ENSMUSG00000049932	H2afx	15270
ENSMUSG00000093674	Rpl41	67945
ENSMUSG00000029212	Gabrb1	14400
ENSMUSG00000041544	Disp3	242748
ENSMUSG00000016559	H3f3b	15081
ENSMUSG00000027636	Sla2	77799
ENSMUSG00000029211	Gabra4	14397
ENSMUSG00000037152	Ndufc1	66377
ENSMUSG00000021760	Gpx8	69590
ENSMUSG00000041417	Pik3r1	18708
ENSMUSG00000027519	Rab22a	19334
ENSMUSG00000078926	Cdc20b	238896
ENSMUSG00000032126	Hmbs	15288
ENSMUSG00000078970	Wdr92	103784
ENSMUSG00000044034	Npb	208990
ENSMUSG00000045100	Slc25a26	67582
ENSMUSG00000027637	Rab5if	67388
ENSMUSG00000028668	Eloa	27224
ENSMUSG00000020115	Tbk1	56480
ENSMUSG00000033953	Ppp3r1	19058
ENSMUSG00000001211	Agpat3	28169
ENSMUSG00000025137	Pcyt2	68671
ENSMUSG00000024011	Pi16	74116
ENSMUSG00000037709	Fam13a	58909
ENSMUSG00000020116	Pno1	66249
ENSMUSG00000074170	Plekhf1	72287
ENSMUSG00000002897	Il17ra	16172
ENSMUSG00000009470	Tnpo1	238799
ENSMUSG00000041986	Elmod1	270162
ENSMUSG00000047428	Dlk2	106565
ENSMUSG00000027845	Dclre1b	140917
ENSMUSG00000022621	Rabl2	68708
ENSMUSG00000045555	Mettl24	327747
ENSMUSG00000053184	Spaca3	75622
ENSMUSG00000020770	Unk	217331
ENSMUSG00000030263	Lrmp	16970
ENSMUSG00000025364	Pa2g4	18813
ENSMUSG00000043822	Adamtsl5	66548
ENSMUSG00000041313	Slc7a1	11987
ENSMUSG00000067610	Klri1	503550
ENSMUSG00000024169	Ift140	106633
ENSMUSG00000053522	Lgals7	16858
ENSMUSG00000036678	Aaas	223921
ENSMUSG00000054690	Emcn	59308
ENSMUSG00000043932	Klri2	320407
ENSMUSG00000026700	Tnfsf4	22164
ENSMUSG00000007880	Arid1a	93760
ENSMUSG00000060708	Bloc1s4	117197
ENSMUSG00000031635	Anxa10	26359
ENSMUSG00000021243	Fcf1	73736
ENSMUSG00000020704	Asic2	11418
ENSMUSG00000037992	Rara	19401
ENSMUSG00000042350	Arel1	68497
ENSMUSG00000027353	Mcm8	66634
ENSMUSG00000038500	Prr3	75210
ENSMUSG00000034667	Xpot	73192
ENSMUSG00000051510	Mafg	17134
ENSMUSG00000044349	Snhg11	319317
ENSMUSG00000024168	Tmem204	407831
ENSMUSG00000035642	Aamdc	66273
ENSMUSG00000024429	Gnl1	14670
ENSMUSG00000020388	Pdlim4	30794
ENSMUSG00000024012	Mtch1	56462
ENSMUSG00000047197	Gjd3	353155
ENSMUSG00000063273	Naa15	74838
ENSMUSG00000025138	Sirt7	209011
ENSMUSG00000038446	Cdc40	71713
ENSMUSG00000036775	Decr2	26378
ENSMUSG00000046719	Nxph3	104079
ENSMUSG00000020914	Top2a	21973
ENSMUSG00000034265	Zdhhc14	224454
ENSMUSG00000000120	Ngfr	18053
ENSMUSG00000026468	Lhx4	16872
ENSMUSG00000091476	Catspere2	545391
ENSMUSG00000094626	Tmem121b	94047
ENSMUSG00000018401	Mtmr4	170749
ENSMUSG00000008153	Clstn3	232370
ENSMUSG00000022793	B4galt4	56375
ENSMUSG00000058979	Hdhd5	214932
ENSMUSG00000063870	Chd4	107932
ENSMUSG00000018567	Gabarap	56486
ENSMUSG00000035486	Plk5	216166
ENSMUSG00000047719	Ubiad1	71707
ENSMUSG00000057948	Unc13d	70450
ENSMUSG00000039834	Zfp335	329559
ENSMUSG00000049013	Prss48	368202
ENSMUSG00000021687	Scamp1	107767
ENSMUSG00000015202	Cnksr3	215748
ENSMUSG00000028082	Sh3d19	27059
ENSMUSG00000018166	Erbb3	13867
ENSMUSG00000053835	H2-T24	15042
ENSMUSG00000056116	H2-T22	15039
ENSMUSG00000056116	H2-T22	15051
ENSMUSG00000017493	Igfbp4	16010
ENSMUSG00000040998	Npnt	114249
ENSMUSG00000032411	Tfdp2	211586
ENSMUSG00000051910	Sox6	20679
